Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
EICHERMOT,17450,17888,17161.8,17765.55,511.35,2.96,2.31,407.83,23450,15200,-17.39,-10.65
KOTAKBANK,1615,1676.5,1608,1650.55,42.6,2.65,50.61,835.26,1740,1217.8,33.06,-1.53
HCLTECH,568,581.9,563.15,576,12.9,2.29,60.61,350.55,623.5,496.5,-45.28,-0.54
HINDUNILVR,2185,2258.65,2181.85,2224,48.15,2.21,22.73,507.39,2308.2,1650,28.96,2.07
TCS,2085.7,2147.75,2084.05,2129,45.8,2.2,39.37,835.26,2296.2,1925,7.09,1.26
BRITANNIA,3082.6,3165,3076.1,3124.35,61.3,2,7.2,225.69,3583.75,2300,1.81,-3.27
BHARTIARTL,522.8,530.7,516.65,526.6,9.85,1.91,140.81,737.44,568.85,278.53,71.06,3.24
ASIANPAINT,1854,1882,1852.1,1877,29.05,1.57,20.62,385.96,1916.7,1291.25,33.7,0.5
BAJFINANCE,4310,4367.55,4273.15,4334,47.6,1.11,18.33,793.13,4923.4,2644.6,60.81,-0.58
ADANIPORTS,347.3,351.9,346.5,349.2,3.25,0.94,27.1,94.69,430.6,330.5,2.93,-4.94
UPL,518.9,529,513,516,4.4,0.86,27.94,145.97,709.05,497.85,-41.06,0.53
GAIL,109.85,111.25,105.9,106.95,0.9,0.85,192.49,207.08,183.25,98.7,-69.13,-6.59
BAJAJFINSV,8870,8970,8761.05,8870,70.3,0.8,3.2,284.37,9950,6386,35.55,-2.38
M&M,472.7,482.5,469,478.45,3.8,0.8,40.81,194.78,704.2,444.35,-27.15,-14.36
SBIN,290.9,298.4,270,287.55,2.25,0.79,1492.46,4270.97,373.8,244.35,4.02,-3.54
HEROMOTOCO,2061.7,2093.1,2052.3,2060.95,14.6,0.71,9,186.45,3022.9,1961,-26.28,-13.27
INDUSINDBK,1075,1094.95,1063,1073,7.05,0.66,68.15,733.34,1834.4,1051,-30.4,-15.05
JSWSTEEL,248.7,252.75,244.35,247,1.4,0.57,71.31,176.79,314,201.75,-15.18,-1.79
ULTRACEMCO,4182.05,4230,4151.6,4195,22.2,0.53,4.51,189.19,4904.95,3791.1,5.88,-4.02
TITAN,1253.5,1265.15,1242.2,1255.5,4.55,0.36,15.56,195.38,1389.95,998,21.3,5.82
LT,1180.1,1187.25,1166.2,1180.5,3.85,0.33,26.25,309.53,1607,1150.55,-9.6,-8.25
BPCL,418.65,429.15,417.05,419,0.3,0.07,57.25,241.47,549,308.35,15.59,-8.97
DRREDDY,3171,3231.95,3166.2,3172.9,1.55,0.05,10.46,335.01,3364.95,2351.2,19.55,0.91
ITC,187.55,191.2,186.55,187.6,0.1,0.05,200.26,378.21,310,186.55,-33.6,-9.63
HDFCBANK,1153,1165,1142.75,1149,0.15,0.01,97.75,1129.74,1305.5,1035,-45.47,-3.67
POWERGRID,196.05,199.55,194.55,197,-0.05,-0.03,54.65,107.76,216.25,176.95,7.65,5.15
SUNPHARMA,409.95,414.8,401.75,404.5,-0.95,-0.23,98.74,403.12,484.25,344.55,-11.27,-3.13
BAJAJ-AUTO,2719.95,2749,2696.2,2702.95,-8.55,-0.32,3.84,104.7,3315.15,2442.2,-6.92,-17.71
NTPC,108.1,109.65,107.05,107.55,-0.4,-0.37,115.79,125.09,145.85,102.7,-26.84,-2.45
ONGC,93.35,94.4,92,92.45,-0.35,-0.38,163.58,152.31,178.9,88.25,-40.35,-10.63
MARUTI,6411.9,6464,6330.2,6348,-36.35,-0.57,6.46,412.76,7758.7,5446.05,-10.81,-9.46
TATASTEEL,383.95,387.8,374.3,374.95,-2.2,-0.58,146.28,556.44,561.65,320.35,-28.14,-14.01
INFY,763.75,773.55,751.75,754.15,-4.6,-0.61,77.55,592.27,847,615.1,2.96,-1.73
AXISBANK,686.5,694,675.25,677.75,-4.45,-0.65,105.08,720.08,827.75,622.65,-7.42,-4.4
HDFC,2206,2232.2,2183,2189,-17.05,-0.77,39.17,864.07,2499.9,1838.55,17.69,-3.13
COALINDIA,180,180.2,172.2,176.65,-1.45,-0.81,123.5,217.32,271.45,165,-26.75,-1.12
ICICIBANK,509.75,511.15,500,504,-4.35,-0.86,166.72,843.45,552.2,352.8,38.75,-2.24
TATAMOTORS,127.55,129.15,124.25,124.75,-1.45,-1.15,877.96,1110.18,239.35,106,-35.71,-23.86
GRASIM,692.8,695.5,678,681,-8.5,-1.23,21.63,147.94,959.8,633.6,-15.94,-12.74
IOC,107.55,108.4,104.45,104.9,-1.7,-1.59,101.65,108.05,170.75,100.9,-31.73,-2.92
TECHM,769.95,784,752.35,758.15,-13.15,-1.7,21.27,163.91,846.5,607.15,-6.4,-4.41
CIPLA,447.85,472,437.45,440,-7.65,-1.71,96.37,432.84,586,389.55,-19.8,-1.02
RELIANCE,1352.2,1357.95,1306,1309.9,-29.8,-2.22,139.48,1851.03,1617.55,1095.3,5.84,-5.46
INFRATEL,222.7,223.75,211.6,215.4,-5.65,-2.56,63.12,135.44,333.45,176.35,-27.27,-6.06
HINDALCO,162.7,167.9,154.85,155.85,-4.75,-2.96,123.38,196.48,221.2,146.85,-21.58,-14.27
