,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,Bought,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Hold,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Hold,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Hold,0.0,0.0,0.0,0,0.0,50000.0
34,2010-11-23,Hold,0.0,0.0,0.0,0,0.0,50000.0
35,2010-11-24,Sold,148.45,144.9,-3.55,336,-1192.8,48807.2
36,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,48807.2
37,2010-11-26,Bought,0.0,0.0,0.0,0,0.0,48807.2
38,2010-11-29,Hold,0.0,0.0,0.0,0,0.0,48807.2
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,48807.2
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,48807.2
41,2010-12-02,Sold,141.3,150.35,9.05,345,3122.25,51929.45
42,2010-12-03,No trade,0.0,0.0,0.0,0,0.0,51929.45
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,51929.45
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,51929.45
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,51929.45
46,2010-12-09,Bought,0.0,0.0,0.0,0,0.0,51929.45
47,2010-12-10,Hold,0.0,0.0,0.0,0,0.0,51929.45
48,2010-12-13,Hold,0.0,0.0,0.0,0,0.0,51929.45
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,51929.45
50,2010-12-15,Sold,137.75,148.3,10.55,376,3966.8,55896.25
51,2010-12-16,No trade,0.0,0.0,0.0,0,0.0,55896.25
52,2010-12-20,No trade,0.0,0.0,0.0,0,0.0,55896.25
53,2010-12-21,Bought,0.0,0.0,0.0,0,0.0,55896.25
54,2010-12-22,Hold,0.0,0.0,0.0,0,0.0,55896.25
55,2010-12-23,Sold,149.7,145.3,-4.4,373,-1641.2,54255.05
56,2010-12-24,No trade,0.0,0.0,0.0,0,0.0,54255.05
57,2010-12-27,No trade,0.0,0.0,0.0,0,0.0,54255.05
58,2010-12-28,No trade,0.0,0.0,0.0,0,0.0,54255.05
59,2010-12-29,Bought,0.0,0.0,0.0,0,0.0,54255.05
60,2010-12-30,Hold,0.0,0.0,0.0,0,0.0,54255.05
61,2010-12-31,Hold,0.0,0.0,0.0,0,0.0,54255.05
62,2011-01-03,Hold,0.0,0.0,0.0,0,0.0,54255.05
63,2011-01-04,Hold,0.0,0.0,0.0,0,0.0,54255.05
64,2011-01-05,Sold,141.35,157.6,16.25,383,6223.75,60478.8
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,60478.8
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,60478.8
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,60478.8
68,2011-01-11,No trade,0.0,0.0,0.0,0,0.0,60478.8
69,2011-01-12,Bought,0.0,0.0,0.0,0,0.0,60478.8
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,60478.8
71,2011-01-14,Hold,0.0,0.0,0.0,0,0.0,60478.8
72,2011-01-17,Sold,139.75,137.1,-2.65,432,-1144.8,59334.0
73,2011-01-18,Bought,0.0,0.0,0.0,0,0.0,59334.0
74,2011-01-19,Hold,0.0,0.0,0.0,0,0.0,59334.0
75,2011-01-20,Hold,0.0,0.0,0.0,0,0.0,59334.0
76,2011-01-21,Hold,0.0,0.0,0.0,0,0.0,59334.0
77,2011-01-24,Hold,0.0,0.0,0.0,0,0.0,59334.0
78,2011-01-25,Sold,139.85,140.15,0.3,424,127.2,59461.2
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,59461.2
80,2011-01-28,Bought,0.0,0.0,0.0,0,0.0,59461.2
