,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,Bought,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Hold,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Sold,265.85,263.66,-2.19,188,-411.72,49588.28
33,2010-11-22,Bought,0.0,0.0,0.0,0,0.0,49588.28
34,2010-11-23,Sold,265.93,263.93,-2.0,186,-372.0,49216.28
35,2010-11-24,No trade,0.0,0.0,0.0,0,0.0,49216.28
36,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,49216.28
37,2010-11-26,Bought,0.0,0.0,0.0,0,0.0,49216.28
38,2010-11-29,Hold,0.0,0.0,0.0,0,0.0,49216.28
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,49216.28
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,49216.28
41,2010-12-02,Sold,254.77,265.18,10.41,193,2009.13,51225.41
42,2010-12-03,No trade,0.0,0.0,0.0,0,0.0,51225.41
43,2010-12-06,Bought,0.0,0.0,0.0,0,0.0,51225.41
44,2010-12-07,Hold,0.0,0.0,0.0,0,0.0,51225.41
45,2010-12-08,Sold,268.21,265.8,-2.41,190,-457.9,50767.51
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,50767.51
47,2010-12-10,Bought,0.0,0.0,0.0,0,0.0,50767.51
48,2010-12-13,Hold,0.0,0.0,0.0,0,0.0,50767.51
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,50767.51
50,2010-12-15,Sold,266.46,271.12,4.66,190,885.4,51652.91
51,2010-12-16,No trade,0.0,0.0,0.0,0,0.0,51652.91
52,2010-12-20,Bought,0.0,0.0,0.0,0,0.0,51652.91
53,2010-12-21,Hold,0.0,0.0,0.0,0,0.0,51652.91
54,2010-12-22,Hold,0.0,0.0,0.0,0,0.0,51652.91
55,2010-12-23,Hold,0.0,0.0,0.0,0,0.0,51652.91
56,2010-12-24,Sold,276.48,288.77,12.29,186,2285.94,53938.85
57,2010-12-27,No trade,0.0,0.0,0.0,0,0.0,53938.85
58,2010-12-28,No trade,0.0,0.0,0.0,0,0.0,53938.85
59,2010-12-29,No trade,0.0,0.0,0.0,0,0.0,53938.85
60,2010-12-30,Bought,0.0,0.0,0.0,0,0.0,53938.85
61,2010-12-31,Hold,0.0,0.0,0.0,0,0.0,53938.85
62,2011-01-03,Hold,0.0,0.0,0.0,0,0.0,53938.85
63,2011-01-04,Sold,282.29,283.62,1.33,191,254.03,54192.88
64,2011-01-05,Bought,0.0,0.0,0.0,0,0.0,54192.88
65,2011-01-06,Sold,288.05,284.95,-3.1,188,-582.8,53610.08
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,53610.08
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,53610.08
68,2011-01-11,Bought,0.0,0.0,0.0,0,0.0,53610.08
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,53610.08
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,53610.08
71,2011-01-14,Hold,0.0,0.0,0.0,0,0.0,53610.08
72,2011-01-17,Sold,270.33,266.29,-4.04,198,-799.92,52810.16
73,2011-01-18,No trade,0.0,0.0,0.0,0,0.0,52810.16
74,2011-01-19,Bought,0.0,0.0,0.0,0,0.0,52810.16
75,2011-01-20,Hold,0.0,0.0,0.0,0,0.0,52810.16
76,2011-01-21,Hold,0.0,0.0,0.0,0,0.0,52810.16
77,2011-01-24,Sold,266.83,262.1,-4.73,197,-931.81,51878.35
78,2011-01-25,No trade,0.0,0.0,0.0,0,0.0,51878.35
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,51878.35
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,51878.35
