,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Bought,0.0,0.0,0.0,0,0.0,50000.0
34,2010-11-23,Hold,0.0,0.0,0.0,0,0.0,50000.0
35,2010-11-24,Sold,286.12,276.96,-9.16,174,-1593.84,48406.16
36,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,48406.16
37,2010-11-26,No trade,0.0,0.0,0.0,0,0.0,48406.16
38,2010-11-29,No trade,0.0,0.0,0.0,0,0.0,48406.16
39,2010-11-30,Bought,0.0,0.0,0.0,0,0.0,48406.16
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,48406.16
41,2010-12-02,Hold,0.0,0.0,0.0,0,0.0,48406.16
42,2010-12-03,Sold,273.37,281.23,7.86,177,1391.22,49797.38
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,49797.38
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,49797.38
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,49797.38
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,49797.38
47,2010-12-10,Bought,0.0,0.0,0.0,0,0.0,49797.38
48,2010-12-13,Hold,0.0,0.0,0.0,0,0.0,49797.38
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,49797.38
50,2010-12-15,Sold,264.71,259.52,-5.19,188,-975.72,48821.66
51,2010-12-16,No trade,0.0,0.0,0.0,0,0.0,48821.66
52,2010-12-20,No trade,0.0,0.0,0.0,0,0.0,48821.66
53,2010-12-21,Bought,0.0,0.0,0.0,0,0.0,48821.66
54,2010-12-22,Hold,0.0,0.0,0.0,0,0.0,48821.66
55,2010-12-23,Hold,0.0,0.0,0.0,0,0.0,48821.66
56,2010-12-24,Hold,0.0,0.0,0.0,0,0.0,48821.66
57,2010-12-27,Sold,263.67,263.32,-0.35,185,-64.75,48756.91
58,2010-12-28,No trade,0.0,0.0,0.0,0,0.0,48756.91
59,2010-12-29,Bought,0.0,0.0,0.0,0,0.0,48756.91
60,2010-12-30,Hold,0.0,0.0,0.0,0,0.0,48756.91
61,2010-12-31,Hold,0.0,0.0,0.0,0,0.0,48756.91
62,2011-01-03,Hold,0.0,0.0,0.0,0,0.0,48756.91
63,2011-01-04,Sold,262.48,269.59,7.11,185,1315.35,50072.26
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,50072.26
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,50072.26
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,50072.26
67,2011-01-10,Bought,0.0,0.0,0.0,0,0.0,50072.26
68,2011-01-11,Hold,0.0,0.0,0.0,0,0.0,50072.26
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,50072.26
70,2011-01-13,Sold,250.92,253.09,2.17,199,431.83,50504.09
71,2011-01-14,No trade,0.0,0.0,0.0,0,0.0,50504.09
72,2011-01-17,No trade,0.0,0.0,0.0,0,0.0,50504.09
73,2011-01-18,Bought,0.0,0.0,0.0,0,0.0,50504.09
74,2011-01-19,Hold,0.0,0.0,0.0,0,0.0,50504.09
75,2011-01-20,Hold,0.0,0.0,0.0,0,0.0,50504.09
76,2011-01-21,Hold,0.0,0.0,0.0,0,0.0,50504.09
77,2011-01-24,Sold,255.65,265.15,9.5,197,1871.5,52375.59
78,2011-01-25,No trade,0.0,0.0,0.0,0,0.0,52375.59
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,52375.59
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,52375.59
