,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2015-01-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2015-01-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2015-01-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2015-01-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2015-01-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2015-01-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2015-01-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2015-01-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2015-01-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2015-01-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2015-01-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2015-01-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2015-01-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2015-01-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2015-01-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2015-01-23,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2015-01-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2015-01-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2015-01-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2015-01-30,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2015-02-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2015-02-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2015-02-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2015-02-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2015-02-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2015-02-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2015-02-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2015-02-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2015-02-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2015-02-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2015-02-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2015-02-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
32,2015-02-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
33,2015-02-20,Bought,0.0,0.0,0.0,0,0.0,50000.0
34,2015-02-23,Hold,0.0,0.0,0.0,0,0.0,50000.0
35,2015-02-24,Hold,0.0,0.0,0.0,0,0.0,50000.0
36,2015-02-25,Hold,0.0,0.0,0.0,0,0.0,50000.0
37,2015-02-26,Sold,2206.8,2134.85,-71.95,22,-1582.9,48417.1
38,2015-02-27,Bought,0.0,0.0,0.0,0,0.0,48417.1
39,2015-03-02,Sold,2150.5,2074.25,-76.25,22,-1677.5,46739.6
40,2015-03-03,Bought,0.0,0.0,0.0,0,0.0,46739.6
41,2015-03-04,Hold,0.0,0.0,0.0,0,0.0,46739.6
42,2015-03-05,Hold,0.0,0.0,0.0,0,0.0,46739.6
43,2015-03-09,Sold,2117.5,2109.85,-7.65,22,-168.3,46571.3
44,2015-03-10,Bought,0.0,0.0,0.0,0,0.0,46571.3
45,2015-03-11,Sold,2129.25,2098.3,-30.95,21,-649.95,45921.35
46,2015-03-12,No trade,0.0,0.0,0.0,0,0.0,45921.35
47,2015-03-13,No trade,0.0,0.0,0.0,0,0.0,45921.35
48,2015-03-16,Bought,0.0,0.0,0.0,0,0.0,45921.35
49,2015-03-17,Hold,0.0,0.0,0.0,0,0.0,45921.35
50,2015-03-18,Hold,0.0,0.0,0.0,0,0.0,45921.35
