,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,Bought,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Hold,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Sold,457.24,448.99,-8.25,109,-899.25,49100.75
33,2010-11-22,Bought,0.0,0.0,0.0,0,0.0,49100.75
34,2010-11-23,Sold,454.59,451.93,-2.66,108,-287.28,48813.47
35,2010-11-24,No trade,0.0,0.0,0.0,0,0.0,48813.47
36,2010-11-25,Bought,0.0,0.0,0.0,0,0.0,48813.47
37,2010-11-26,Hold,0.0,0.0,0.0,0,0.0,48813.47
38,2010-11-29,Sold,451.98,452.38,0.4,107,42.8,48856.27
39,2010-11-30,Bought,0.0,0.0,0.0,0,0.0,48856.27
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,48856.27
41,2010-12-02,Hold,0.0,0.0,0.0,0,0.0,48856.27
42,2010-12-03,Sold,463.82,478.17,14.35,105,1506.75,50363.02
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,50363.02
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,50363.02
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,50363.02
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,50363.02
47,2010-12-10,Bought,0.0,0.0,0.0,0,0.0,50363.02
48,2010-12-13,Hold,0.0,0.0,0.0,0,0.0,50363.02
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,50363.02
50,2010-12-15,Hold,0.0,0.0,0.0,0,0.0,50363.02
51,2010-12-16,Hold,0.0,0.0,0.0,0,0.0,50363.02
52,2010-12-20,Sold,450.41,445.45,-4.96,111,-550.56,49812.46
53,2010-12-21,Bought,0.0,0.0,0.0,0,0.0,49812.46
54,2010-12-22,Sold,448.4,436.41,-11.99,111,-1330.89,48481.57
55,2010-12-23,Bought,0.0,0.0,0.0,0,0.0,48481.57
56,2010-12-24,Hold,0.0,0.0,0.0,0,0.0,48481.57
57,2010-12-27,Hold,0.0,0.0,0.0,0,0.0,48481.57
58,2010-12-28,Hold,0.0,0.0,0.0,0,0.0,48481.57
59,2010-12-29,Sold,442.11,462.49,20.38,109,2221.42,50702.99
60,2010-12-30,No trade,0.0,0.0,0.0,0,0.0,50702.99
61,2010-12-31,No trade,0.0,0.0,0.0,0,0.0,50702.99
62,2011-01-03,Bought,0.0,0.0,0.0,0,0.0,50702.99
63,2011-01-04,Sold,462.15,459.99,-2.16,109,-235.44,50467.55
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,50467.55
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,50467.55
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,50467.55
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,50467.55
68,2011-01-11,Bought,0.0,0.0,0.0,0,0.0,50467.55
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,50467.55
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,50467.55
71,2011-01-14,Sold,424.82,416.47,-8.35,118,-985.3,49482.25
72,2011-01-17,Bought,0.0,0.0,0.0,0,0.0,49482.25
73,2011-01-18,Hold,0.0,0.0,0.0,0,0.0,49482.25
74,2011-01-19,Hold,0.0,0.0,0.0,0,0.0,49482.25
75,2011-01-20,Hold,0.0,0.0,0.0,0,0.0,49482.25
76,2011-01-21,Sold,406.2,417.25,11.05,121,1337.05,50819.3
77,2011-01-24,No trade,0.0,0.0,0.0,0,0.0,50819.3
78,2011-01-25,No trade,0.0,0.0,0.0,0,0.0,50819.3
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,50819.3
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,50819.3
