,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,Bought,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Hold,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Hold,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Hold,0.0,0.0,0.0,0,0.0,50000.0
34,2010-11-23,Sold,313.45,329.15,15.7,159,2496.3,52496.3
35,2010-11-24,No trade,0.0,0.0,0.0,0,0.0,52496.3
36,2010-11-25,Bought,0.0,0.0,0.0,0,0.0,52496.3
37,2010-11-26,Sold,335.0,333.8,-1.2,156,-187.2,52309.1
38,2010-11-29,Bought,0.0,0.0,0.0,0,0.0,52309.1
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,52309.1
40,2010-12-01,Sold,338.7,350.55,11.85,154,1824.9,54134.0
41,2010-12-02,No trade,0.0,0.0,0.0,0,0.0,54134.0
42,2010-12-03,No trade,0.0,0.0,0.0,0,0.0,54134.0
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,54134.0
44,2010-12-07,Bought,0.0,0.0,0.0,0,0.0,54134.0
45,2010-12-08,Hold,0.0,0.0,0.0,0,0.0,54134.0
46,2010-12-09,Sold,348.85,338.45,-10.4,155,-1612.0,52522.0
47,2010-12-10,No trade,0.0,0.0,0.0,0,0.0,52522.0
48,2010-12-13,No trade,0.0,0.0,0.0,0,0.0,52522.0
49,2010-12-14,Bought,0.0,0.0,0.0,0,0.0,52522.0
50,2010-12-15,Hold,0.0,0.0,0.0,0,0.0,52522.0
51,2010-12-16,Hold,0.0,0.0,0.0,0,0.0,52522.0
52,2010-12-20,Sold,335.15,335.0,-0.15,156,-23.4,52498.6
53,2010-12-21,No trade,0.0,0.0,0.0,0,0.0,52498.6
54,2010-12-22,Bought,0.0,0.0,0.0,0,0.0,52498.6
55,2010-12-23,Hold,0.0,0.0,0.0,0,0.0,52498.6
56,2010-12-24,Hold,0.0,0.0,0.0,0,0.0,52498.6
57,2010-12-27,Sold,343.25,341.9,-1.35,152,-205.2,52293.4
58,2010-12-28,No trade,0.0,0.0,0.0,0,0.0,52293.4
59,2010-12-29,Bought,0.0,0.0,0.0,0,0.0,52293.4
60,2010-12-30,Hold,0.0,0.0,0.0,0,0.0,52293.4
61,2010-12-31,Hold,0.0,0.0,0.0,0,0.0,52293.4
62,2011-01-03,Hold,0.0,0.0,0.0,0,0.0,52293.4
63,2011-01-04,Sold,354.0,356.4,2.4,147,352.8,52646.2
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,52646.2
65,2011-01-06,Bought,0.0,0.0,0.0,0,0.0,52646.2
66,2011-01-07,Sold,353.2,338.5,-14.7,149,-2190.3,50455.9
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,50455.9
68,2011-01-11,Bought,0.0,0.0,0.0,0,0.0,50455.9
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,50455.9
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,50455.9
71,2011-01-14,Sold,338.45,343.75,5.3,149,789.7,51245.6
72,2011-01-17,Bought,0.0,0.0,0.0,0,0.0,51245.6
73,2011-01-18,Sold,348.5,344.4,-4.1,147,-602.7,50642.9
74,2011-01-19,No trade,0.0,0.0,0.0,0,0.0,50642.9
75,2011-01-20,No trade,0.0,0.0,0.0,0,0.0,50642.9
76,2011-01-21,No trade,0.0,0.0,0.0,0,0.0,50642.9
77,2011-01-24,Bought,0.0,0.0,0.0,0,0.0,50642.9
78,2011-01-25,Hold,0.0,0.0,0.0,0,0.0,50642.9
79,2011-01-27,Sold,333.1,325.65,-7.45,152,-1132.4,49510.5
80,2011-01-28,Bought,0.0,0.0,0.0,0,0.0,49510.5
