,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,Bought,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Hold,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Sold,339.25,342.8,3.55,147,521.85,50521.85
33,2010-11-22,No trade,0.0,0.0,0.0,0,0.0,50521.85
34,2010-11-23,No trade,0.0,0.0,0.0,0,0.0,50521.85
35,2010-11-24,No trade,0.0,0.0,0.0,0,0.0,50521.85
36,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,50521.85
37,2010-11-26,Bought,0.0,0.0,0.0,0,0.0,50521.85
38,2010-11-29,Hold,0.0,0.0,0.0,0,0.0,50521.85
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,50521.85
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,50521.85
41,2010-12-02,Hold,0.0,0.0,0.0,0,0.0,50521.85
42,2010-12-03,Sold,340.1,370.25,30.15,148,4462.2,54984.05
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,54984.05
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,54984.05
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,54984.05
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,54984.05
47,2010-12-10,No trade,0.0,0.0,0.0,0,0.0,54984.05
48,2010-12-13,Bought,0.0,0.0,0.0,0,0.0,54984.05
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,54984.05
50,2010-12-15,Hold,0.0,0.0,0.0,0,0.0,54984.05
51,2010-12-16,Hold,0.0,0.0,0.0,0,0.0,54984.05
52,2010-12-20,Hold,0.0,0.0,0.0,0,0.0,54984.05
53,2010-12-21,Hold,0.0,0.0,0.0,0,0.0,54984.05
54,2010-12-22,Sold,355.4,361.8,6.4,154,985.6,55969.65
55,2010-12-23,No trade,0.0,0.0,0.0,0,0.0,55969.65
56,2010-12-24,Bought,0.0,0.0,0.0,0,0.0,55969.65
57,2010-12-27,Hold,0.0,0.0,0.0,0,0.0,55969.65
58,2010-12-28,Hold,0.0,0.0,0.0,0,0.0,55969.65
59,2010-12-29,Sold,363.7,366.65,2.95,153,451.35,56421.0
60,2010-12-30,No trade,0.0,0.0,0.0,0,0.0,56421.0
61,2010-12-31,No trade,0.0,0.0,0.0,0,0.0,56421.0
62,2011-01-03,Bought,0.0,0.0,0.0,0,0.0,56421.0
63,2011-01-04,Hold,0.0,0.0,0.0,0,0.0,56421.0
64,2011-01-05,Sold,372.5,376.35,3.85,151,581.35,57002.35
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,57002.35
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,57002.35
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,57002.35
68,2011-01-11,Bought,0.0,0.0,0.0,0,0.0,57002.35
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,57002.35
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,57002.35
71,2011-01-14,Hold,0.0,0.0,0.0,0,0.0,57002.35
72,2011-01-17,Hold,0.0,0.0,0.0,0,0.0,57002.35
73,2011-01-18,Hold,0.0,0.0,0.0,0,0.0,57002.35
74,2011-01-19,Hold,0.0,0.0,0.0,0,0.0,57002.35
75,2011-01-20,Sold,346.65,351.35,4.7,164,770.8,57773.15
76,2011-01-21,Bought,0.0,0.0,0.0,0,0.0,57773.15
77,2011-01-24,Sold,354.0,348.5,-5.5,163,-896.5,56876.65
78,2011-01-25,No trade,0.0,0.0,0.0,0,0.0,56876.65
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,56876.65
80,2011-01-28,Bought,0.0,0.0,0.0,0,0.0,56876.65
