,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-11-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-11-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-11-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-11-23,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-11-24,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-11-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-11-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-11-30,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-12-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-12-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-12-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-12-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-12-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-12-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-12-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-12-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-12-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-12-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-12-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
32,2010-12-23,No trade,0.0,0.0,0.0,0,0.0,50000.0
33,2010-12-24,Bought,0.0,0.0,0.0,0,0.0,50000.0
34,2010-12-27,Hold,0.0,0.0,0.0,0,0.0,50000.0
35,2010-12-28,Hold,0.0,0.0,0.0,0,0.0,50000.0
36,2010-12-29,Hold,0.0,0.0,0.0,0,0.0,50000.0
37,2010-12-30,Hold,0.0,0.0,0.0,0,0.0,50000.0
38,2010-12-31,Hold,0.0,0.0,0.0,0,0.0,50000.0
39,2011-01-03,Hold,0.0,0.0,0.0,0,0.0,50000.0
40,2011-01-04,Sold,312.15,319.2,7.05,160,1128.0,51128.0
41,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,51128.0
42,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,51128.0
43,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,51128.0
44,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,51128.0
45,2011-01-11,Bought,0.0,0.0,0.0,0,0.0,51128.0
