,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Bought,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Hold,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Sold,1767.85,1762.7,-5.15,28,-144.2,49855.8
34,2010-11-23,No trade,0.0,0.0,0.0,0,0.0,49855.8
35,2010-11-24,Bought,0.0,0.0,0.0,0,0.0,49855.8
36,2010-11-25,Sold,1781.25,1770.15,-11.1,27,-299.7,49556.1
37,2010-11-26,Bought,0.0,0.0,0.0,0,0.0,49556.1
38,2010-11-29,Hold,0.0,0.0,0.0,0,0.0,49556.1
39,2010-11-30,Sold,1787.15,1786.7,-0.45,27,-12.15,49543.95
40,2010-12-01,No trade,0.0,0.0,0.0,0,0.0,49543.95
41,2010-12-02,Bought,0.0,0.0,0.0,0,0.0,49543.95
42,2010-12-03,Hold,0.0,0.0,0.0,0,0.0,49543.95
43,2010-12-06,Hold,0.0,0.0,0.0,0,0.0,49543.95
44,2010-12-07,Hold,0.0,0.0,0.0,0,0.0,49543.95
45,2010-12-08,Hold,0.0,0.0,0.0,0,0.0,49543.95
46,2010-12-09,Sold,1787.7,1812.5,24.8,27,669.6,50213.55
47,2010-12-10,No trade,0.0,0.0,0.0,0,0.0,50213.55
48,2010-12-13,Bought,0.0,0.0,0.0,0,0.0,50213.55
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,50213.55
50,2010-12-15,Sold,1822.1,1791.1,-31.0,27,-837.0,49376.55
51,2010-12-16,No trade,0.0,0.0,0.0,0,0.0,49376.55
52,2010-12-20,No trade,0.0,0.0,0.0,0,0.0,49376.55
53,2010-12-21,Bought,0.0,0.0,0.0,0,0.0,49376.55
54,2010-12-22,Hold,0.0,0.0,0.0,0,0.0,49376.55
55,2010-12-23,Hold,0.0,0.0,0.0,0,0.0,49376.55
56,2010-12-24,Hold,0.0,0.0,0.0,0,0.0,49376.55
57,2010-12-27,Hold,0.0,0.0,0.0,0,0.0,49376.55
58,2010-12-28,Hold,0.0,0.0,0.0,0,0.0,49376.55
59,2010-12-29,Hold,0.0,0.0,0.0,0,0.0,49376.55
60,2010-12-30,Sold,1686.7,1685.0,-1.7,29,-49.3,49327.25
61,2010-12-31,No trade,0.0,0.0,0.0,0,0.0,49327.25
62,2011-01-03,Bought,0.0,0.0,0.0,0,0.0,49327.25
63,2011-01-04,Hold,0.0,0.0,0.0,0,0.0,49327.25
64,2011-01-05,Hold,0.0,0.0,0.0,0,0.0,49327.25
65,2011-01-06,Hold,0.0,0.0,0.0,0,0.0,49327.25
66,2011-01-07,Sold,1670.5,1672.65,2.15,29,62.35,49389.6
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,49389.6
68,2011-01-11,Bought,0.0,0.0,0.0,0,0.0,49389.6
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,49389.6
70,2011-01-13,Sold,1670.9,1642.2,-28.7,29,-832.3,48557.3
71,2011-01-14,Bought,0.0,0.0,0.0,0,0.0,48557.3
72,2011-01-17,Sold,1651.45,1640.7,-10.75,29,-311.75,48245.55
73,2011-01-18,Bought,0.0,0.0,0.0,0,0.0,48245.55
74,2011-01-19,Hold,0.0,0.0,0.0,0,0.0,48245.55
75,2011-01-20,Hold,0.0,0.0,0.0,0,0.0,48245.55
76,2011-01-21,Sold,1671.65,1651.95,-19.7,28,-551.6,47693.95
77,2011-01-24,No trade,0.0,0.0,0.0,0,0.0,47693.95
78,2011-01-25,No trade,0.0,0.0,0.0,0,0.0,47693.95
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,47693.95
80,2011-01-28,Bought,0.0,0.0,0.0,0,0.0,47693.95
