,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,Bought,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Hold,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Sold,1279.35,1212.7,-66.65,39,-2599.35,47400.65
33,2010-11-22,No trade,0.0,0.0,0.0,0,0.0,47400.65
34,2010-11-23,No trade,0.0,0.0,0.0,0,0.0,47400.65
35,2010-11-24,No trade,0.0,0.0,0.0,0,0.0,47400.65
36,2010-11-25,Bought,0.0,0.0,0.0,0,0.0,47400.65
37,2010-11-26,Sold,1157.15,1101.4,-55.75,40,-2230.0,45170.65
38,2010-11-29,Bought,0.0,0.0,0.0,0,0.0,45170.65
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,45170.65
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,45170.65
41,2010-12-02,Sold,1147.65,1222.95,75.3,39,2936.7,48107.35
42,2010-12-03,No trade,0.0,0.0,0.0,0,0.0,48107.35
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,48107.35
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,48107.35
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,48107.35
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,48107.35
47,2010-12-10,No trade,0.0,0.0,0.0,0,0.0,48107.35
48,2010-12-13,No trade,0.0,0.0,0.0,0,0.0,48107.35
49,2010-12-14,Bought,0.0,0.0,0.0,0,0.0,48107.35
50,2010-12-15,Hold,0.0,0.0,0.0,0,0.0,48107.35
51,2010-12-16,Hold,0.0,0.0,0.0,0,0.0,48107.35
52,2010-12-20,Hold,0.0,0.0,0.0,0,0.0,48107.35
53,2010-12-21,Sold,1192.1,1170.8,-21.3,40,-852.0,47255.35
54,2010-12-22,No trade,0.0,0.0,0.0,0,0.0,47255.35
55,2010-12-23,Bought,0.0,0.0,0.0,0,0.0,47255.35
56,2010-12-24,Hold,0.0,0.0,0.0,0,0.0,47255.35
57,2010-12-27,Hold,0.0,0.0,0.0,0,0.0,47255.35
58,2010-12-28,Sold,1181.4,1193.7,12.3,39,479.7,47735.05
59,2010-12-29,Bought,0.0,0.0,0.0,0,0.0,47735.05
60,2010-12-30,Sold,1196.9,1218.8,21.9,39,854.1,48589.15
61,2010-12-31,No trade,0.0,0.0,0.0,0,0.0,48589.15
62,2011-01-03,No trade,0.0,0.0,0.0,0,0.0,48589.15
63,2011-01-04,No trade,0.0,0.0,0.0,0,0.0,48589.15
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,48589.15
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,48589.15
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,48589.15
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,48589.15
68,2011-01-11,Bought,0.0,0.0,0.0,0,0.0,48589.15
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,48589.15
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,48589.15
71,2011-01-14,Hold,0.0,0.0,0.0,0,0.0,48589.15
72,2011-01-17,Sold,1100.15,1148.8,48.65,44,2140.6,50729.75
73,2011-01-18,No trade,0.0,0.0,0.0,0,0.0,50729.75
74,2011-01-19,No trade,0.0,0.0,0.0,0,0.0,50729.75
75,2011-01-20,No trade,0.0,0.0,0.0,0,0.0,50729.75
76,2011-01-21,No trade,0.0,0.0,0.0,0,0.0,50729.75
77,2011-01-24,Bought,0.0,0.0,0.0,0,0.0,50729.75
78,2011-01-25,Hold,0.0,0.0,0.0,0,0.0,50729.75
79,2011-01-27,Sold,1108.25,1075.0,-33.25,45,-1496.25,49233.5
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,49233.5
