,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Bought,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Hold,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Hold,0.0,0.0,0.0,0,0.0,50000.0
34,2010-11-23,Sold,275.15,275.26,0.11,181,19.91,50019.91
35,2010-11-24,No trade,0.0,0.0,0.0,0,0.0,50019.91
36,2010-11-25,Bought,0.0,0.0,0.0,0,0.0,50019.91
37,2010-11-26,Hold,0.0,0.0,0.0,0,0.0,50019.91
38,2010-11-29,Hold,0.0,0.0,0.0,0,0.0,50019.91
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,50019.91
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,50019.91
41,2010-12-02,Sold,274.75,276.58,1.83,182,333.06,50352.97
42,2010-12-03,No trade,0.0,0.0,0.0,0,0.0,50352.97
43,2010-12-06,Bought,0.0,0.0,0.0,0,0.0,50352.97
44,2010-12-07,Hold,0.0,0.0,0.0,0,0.0,50352.97
45,2010-12-08,Hold,0.0,0.0,0.0,0,0.0,50352.97
46,2010-12-09,Sold,277.57,279.51,1.94,181,351.14,50704.11
47,2010-12-10,No trade,0.0,0.0,0.0,0,0.0,50704.11
48,2010-12-13,Bought,0.0,0.0,0.0,0,0.0,50704.11
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,50704.11
50,2010-12-15,Hold,0.0,0.0,0.0,0,0.0,50704.11
51,2010-12-16,Sold,281.78,281.25,-0.53,179,-94.87,50609.24
52,2010-12-20,Bought,0.0,0.0,0.0,0,0.0,50609.24
53,2010-12-21,Hold,0.0,0.0,0.0,0,0.0,50609.24
54,2010-12-22,Hold,0.0,0.0,0.0,0,0.0,50609.24
55,2010-12-23,Sold,285.61,285.95,0.34,177,60.18,50669.42
56,2010-12-24,Bought,0.0,0.0,0.0,0,0.0,50669.42
57,2010-12-27,Sold,288.98,286.68,-2.3,175,-402.5,50266.92
58,2010-12-28,No trade,0.0,0.0,0.0,0,0.0,50266.92
59,2010-12-29,No trade,0.0,0.0,0.0,0,0.0,50266.92
60,2010-12-30,Bought,0.0,0.0,0.0,0,0.0,50266.92
61,2010-12-31,Hold,0.0,0.0,0.0,0,0.0,50266.92
62,2011-01-03,Hold,0.0,0.0,0.0,0,0.0,50266.92
63,2011-01-04,Hold,0.0,0.0,0.0,0,0.0,50266.92
64,2011-01-05,Sold,287.27,297.45,10.18,174,1771.32,52038.24
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,52038.24
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,52038.24
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,52038.24
68,2011-01-11,No trade,0.0,0.0,0.0,0,0.0,52038.24
69,2011-01-12,Bought,0.0,0.0,0.0,0,0.0,52038.24
70,2011-01-13,Sold,286.26,280.46,-5.8,181,-1049.8,50988.44
71,2011-01-14,No trade,0.0,0.0,0.0,0,0.0,50988.44
72,2011-01-17,Bought,0.0,0.0,0.0,0,0.0,50988.44
73,2011-01-18,Hold,0.0,0.0,0.0,0,0.0,50988.44
74,2011-01-19,Hold,0.0,0.0,0.0,0,0.0,50988.44
75,2011-01-20,Hold,0.0,0.0,0.0,0,0.0,50988.44
76,2011-01-21,Hold,0.0,0.0,0.0,0,0.0,50988.44
77,2011-01-24,Hold,0.0,0.0,0.0,0,0.0,50988.44
78,2011-01-25,Hold,0.0,0.0,0.0,0,0.0,50988.44
79,2011-01-27,Sold,271.04,258.5,-12.54,188,-2357.52,48630.92
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,48630.92
