,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,Bought,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Hold,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Hold,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Hold,0.0,0.0,0.0,0,0.0,50000.0
34,2010-11-23,Hold,0.0,0.0,0.0,0,0.0,50000.0
35,2010-11-24,Sold,348.61,342.17,-6.44,143,-920.92,49079.08
36,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,49079.08
37,2010-11-26,Bought,0.0,0.0,0.0,0,0.0,49079.08
38,2010-11-29,Hold,0.0,0.0,0.0,0,0.0,49079.08
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,49079.08
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,49079.08
41,2010-12-02,Sold,348.41,362.16,13.75,140,1925.0,51004.08
42,2010-12-03,No trade,0.0,0.0,0.0,0,0.0,51004.08
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,51004.08
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,51004.08
45,2010-12-08,Bought,0.0,0.0,0.0,0,0.0,51004.08
46,2010-12-09,Sold,366.08,360.69,-5.39,139,-749.21,50254.87
47,2010-12-10,No trade,0.0,0.0,0.0,0,0.0,50254.87
48,2010-12-13,Bought,0.0,0.0,0.0,0,0.0,50254.87
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,50254.87
50,2010-12-15,Sold,361.3,351.66,-9.64,139,-1339.96,48914.91
51,2010-12-16,No trade,0.0,0.0,0.0,0,0.0,48914.91
52,2010-12-20,Bought,0.0,0.0,0.0,0,0.0,48914.91
53,2010-12-21,Hold,0.0,0.0,0.0,0,0.0,48914.91
54,2010-12-22,Hold,0.0,0.0,0.0,0,0.0,48914.91
55,2010-12-23,Hold,0.0,0.0,0.0,0,0.0,48914.91
56,2010-12-24,Sold,352.54,353.91,1.37,138,189.06,49103.97
57,2010-12-27,No trade,0.0,0.0,0.0,0,0.0,49103.97
58,2010-12-28,Bought,0.0,0.0,0.0,0,0.0,49103.97
59,2010-12-29,Hold,0.0,0.0,0.0,0,0.0,49103.97
60,2010-12-30,Hold,0.0,0.0,0.0,0,0.0,49103.97
61,2010-12-31,Hold,0.0,0.0,0.0,0,0.0,49103.97
62,2011-01-03,Hold,0.0,0.0,0.0,0,0.0,49103.97
63,2011-01-04,Sold,359.5,371.9,12.4,136,1686.4,50790.37
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,50790.37
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,50790.37
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,50790.37
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,50790.37
68,2011-01-11,No trade,0.0,0.0,0.0,0,0.0,50790.37
69,2011-01-12,Bought,0.0,0.0,0.0,0,0.0,50790.37
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,50790.37
71,2011-01-14,Hold,0.0,0.0,0.0,0,0.0,50790.37
72,2011-01-17,Sold,373.76,378.77,5.01,135,676.35,51466.72
73,2011-01-18,No trade,0.0,0.0,0.0,0,0.0,51466.72
74,2011-01-19,No trade,0.0,0.0,0.0,0,0.0,51466.72
75,2011-01-20,Bought,0.0,0.0,0.0,0,0.0,51466.72
76,2011-01-21,Sold,377.51,373.58,-3.93,136,-534.48,50932.24
77,2011-01-24,No trade,0.0,0.0,0.0,0,0.0,50932.24
78,2011-01-25,No trade,0.0,0.0,0.0,0,0.0,50932.24
79,2011-01-27,Bought,0.0,0.0,0.0,0,0.0,50932.24
80,2011-01-28,Hold,0.0,0.0,0.0,0,0.0,50932.24
