,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Bought,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Sold,700.35,695.35,-5.0,71,-355.0,49645.0
33,2010-11-22,Bought,0.0,0.0,0.0,0,0.0,49645.0
34,2010-11-23,Sold,719.1,699.65,-19.45,69,-1342.05,48302.95
35,2010-11-24,No trade,0.0,0.0,0.0,0,0.0,48302.95
36,2010-11-25,Bought,0.0,0.0,0.0,0,0.0,48302.95
37,2010-11-26,Sold,695.95,684.95,-11.0,69,-759.0,47543.95
38,2010-11-29,Bought,0.0,0.0,0.0,0,0.0,47543.95
39,2010-11-30,Sold,694.85,686.65,-8.2,68,-557.6,46986.35
40,2010-12-01,Bought,0.0,0.0,0.0,0,0.0,46986.35
41,2010-12-02,Hold,0.0,0.0,0.0,0,0.0,46986.35
42,2010-12-03,Sold,697.75,695.3,-2.45,67,-164.15,46822.2
43,2010-12-06,Bought,0.0,0.0,0.0,0,0.0,46822.2
44,2010-12-07,Sold,704.85,700.8,-4.05,66,-267.3,46554.9
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,46554.9
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,46554.9
47,2010-12-10,No trade,0.0,0.0,0.0,0,0.0,46554.9
48,2010-12-13,Bought,0.0,0.0,0.0,0,0.0,46554.9
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,46554.9
50,2010-12-15,Sold,693.75,685.45,-8.3,67,-556.1,45998.8
51,2010-12-16,Bought,0.0,0.0,0.0,0,0.0,45998.8
52,2010-12-20,Hold,0.0,0.0,0.0,0,0.0,45998.8
53,2010-12-21,Hold,0.0,0.0,0.0,0,0.0,45998.8
54,2010-12-22,Sold,688.5,697.75,9.25,66,610.5,46609.3
55,2010-12-23,Bought,0.0,0.0,0.0,0,0.0,46609.3
56,2010-12-24,Sold,701.8,698.9,-2.9,66,-191.4,46417.9
57,2010-12-27,No trade,0.0,0.0,0.0,0,0.0,46417.9
58,2010-12-28,Bought,0.0,0.0,0.0,0,0.0,46417.9
59,2010-12-29,Hold,0.0,0.0,0.0,0,0.0,46417.9
60,2010-12-30,Hold,0.0,0.0,0.0,0,0.0,46417.9
61,2010-12-31,Hold,0.0,0.0,0.0,0,0.0,46417.9
62,2011-01-03,Sold,700.4,728.2,27.8,66,1834.8,48252.7
63,2011-01-04,Bought,0.0,0.0,0.0,0,0.0,48252.7
64,2011-01-05,Sold,731.75,708.1,-23.65,65,-1537.25,46715.45
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,46715.45
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,46715.45
67,2011-01-10,Bought,0.0,0.0,0.0,0,0.0,46715.45
68,2011-01-11,Hold,0.0,0.0,0.0,0,0.0,46715.45
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,46715.45
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,46715.45
71,2011-01-14,Sold,653.6,641.75,-11.85,71,-841.35,45874.1
72,2011-01-17,Bought,0.0,0.0,0.0,0,0.0,45874.1
73,2011-01-18,Hold,0.0,0.0,0.0,0,0.0,45874.1
74,2011-01-19,Sold,663.65,653.1,-10.55,69,-727.95,45146.15
75,2011-01-20,Bought,0.0,0.0,0.0,0,0.0,45146.15
76,2011-01-21,Sold,660.6,651.2,-9.4,68,-639.2,44506.95
77,2011-01-24,Bought,0.0,0.0,0.0,0,0.0,44506.95
78,2011-01-25,Hold,0.0,0.0,0.0,0,0.0,44506.95
79,2011-01-27,Sold,669.45,667.1,-2.35,66,-155.1,44351.85
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,44351.85
