,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,Bought,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Sold,474.52,468.07,-6.45,105,-677.25,49322.75
32,2010-11-19,No trade,0.0,0.0,0.0,0,0.0,49322.75
33,2010-11-22,Bought,0.0,0.0,0.0,0,0.0,49322.75
34,2010-11-23,Hold,0.0,0.0,0.0,0,0.0,49322.75
35,2010-11-24,Sold,475.98,462.28,-13.7,103,-1411.1,47911.65
36,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,47911.65
37,2010-11-26,No trade,0.0,0.0,0.0,0,0.0,47911.65
38,2010-11-29,No trade,0.0,0.0,0.0,0,0.0,47911.65
39,2010-11-30,No trade,0.0,0.0,0.0,0,0.0,47911.65
40,2010-12-01,Bought,0.0,0.0,0.0,0,0.0,47911.65
41,2010-12-02,Hold,0.0,0.0,0.0,0,0.0,47911.65
42,2010-12-03,Hold,0.0,0.0,0.0,0,0.0,47911.65
43,2010-12-06,Sold,473.41,476.65,3.24,101,327.24,48238.89
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,48238.89
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,48238.89
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,48238.89
47,2010-12-10,No trade,0.0,0.0,0.0,0,0.0,48238.89
48,2010-12-13,Bought,0.0,0.0,0.0,0,0.0,48238.89
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,48238.89
50,2010-12-15,Sold,447.8,432.58,-15.22,107,-1628.54,46610.35
51,2010-12-16,Bought,0.0,0.0,0.0,0,0.0,46610.35
52,2010-12-20,Hold,0.0,0.0,0.0,0,0.0,46610.35
53,2010-12-21,Hold,0.0,0.0,0.0,0,0.0,46610.35
54,2010-12-22,Sold,440.16,435.76,-4.4,105,-462.0,46148.35
55,2010-12-23,No trade,0.0,0.0,0.0,0,0.0,46148.35
56,2010-12-24,Bought,0.0,0.0,0.0,0,0.0,46148.35
57,2010-12-27,Sold,443.68,442.74,-0.94,104,-97.76,46050.59
58,2010-12-28,Bought,0.0,0.0,0.0,0,0.0,46050.59
59,2010-12-29,Hold,0.0,0.0,0.0,0,0.0,46050.59
60,2010-12-30,Sold,451.23,461.1,9.87,102,1006.74,47057.33
61,2010-12-31,Bought,0.0,0.0,0.0,0,0.0,47057.33
62,2011-01-03,Hold,0.0,0.0,0.0,0,0.0,47057.33
63,2011-01-04,Sold,469.27,469.11,-0.16,100,-16.0,47041.33
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,47041.33
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,47041.33
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,47041.33
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,47041.33
68,2011-01-11,Bought,0.0,0.0,0.0,0,0.0,47041.33
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,47041.33
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,47041.33
71,2011-01-14,Sold,429.32,409.91,-19.41,109,-2115.69,44925.64
72,2011-01-17,Bought,0.0,0.0,0.0,0,0.0,44925.64
73,2011-01-18,Hold,0.0,0.0,0.0,0,0.0,44925.64
74,2011-01-19,Hold,0.0,0.0,0.0,0,0.0,44925.64
75,2011-01-20,Hold,0.0,0.0,0.0,0,0.0,44925.64
76,2011-01-21,Sold,413.62,418.83,5.21,108,562.68,45488.32
77,2011-01-24,Bought,0.0,0.0,0.0,0,0.0,45488.32
78,2011-01-25,Sold,429.72,416.86,-12.86,105,-1350.3,44138.02
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,44138.02
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,44138.02
