,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Bought,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Hold,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Hold,0.0,0.0,0.0,0,0.0,50000.0
34,2010-11-23,Sold,1913.35,1957.65,44.3,26,1151.8,51151.8
35,2010-11-24,No trade,0.0,0.0,0.0,0,0.0,51151.8
36,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,51151.8
37,2010-11-26,No trade,0.0,0.0,0.0,0,0.0,51151.8
38,2010-11-29,Bought,0.0,0.0,0.0,0,0.0,51151.8
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,51151.8
40,2010-12-01,Sold,1946.5,1925.45,-21.05,26,-547.3,50604.5
41,2010-12-02,No trade,0.0,0.0,0.0,0,0.0,50604.5
42,2010-12-03,Bought,0.0,0.0,0.0,0,0.0,50604.5
43,2010-12-06,Sold,1839.55,1774.8,-64.75,27,-1748.25,48856.25
44,2010-12-07,Bought,0.0,0.0,0.0,0,0.0,48856.25
45,2010-12-08,Sold,1789.35,1758.1,-31.25,27,-843.75,48012.5
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,48012.5
47,2010-12-10,Bought,0.0,0.0,0.0,0,0.0,48012.5
48,2010-12-13,Hold,0.0,0.0,0.0,0,0.0,48012.5
49,2010-12-14,Sold,1785.3,1712.75,-72.55,26,-1886.3,46126.2
50,2010-12-15,No trade,0.0,0.0,0.0,0,0.0,46126.2
51,2010-12-16,Bought,0.0,0.0,0.0,0,0.0,46126.2
52,2010-12-20,Hold,0.0,0.0,0.0,0,0.0,46126.2
53,2010-12-21,Hold,0.0,0.0,0.0,0,0.0,46126.2
54,2010-12-22,Sold,1681.7,1939.85,258.15,27,6970.05,53096.25
55,2010-12-23,No trade,0.0,0.0,0.0,0,0.0,53096.25
56,2010-12-24,No trade,0.0,0.0,0.0,0,0.0,53096.25
57,2010-12-27,No trade,0.0,0.0,0.0,0,0.0,53096.25
58,2010-12-28,Bought,0.0,0.0,0.0,0,0.0,53096.25
59,2010-12-29,Hold,0.0,0.0,0.0,0,0.0,53096.25
60,2010-12-30,Hold,0.0,0.0,0.0,0,0.0,53096.25
61,2010-12-31,Sold,1944.9,1988.15,43.25,27,1167.75,54264.0
62,2011-01-03,No trade,0.0,0.0,0.0,0,0.0,54264.0
63,2011-01-04,No trade,0.0,0.0,0.0,0,0.0,54264.0
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,54264.0
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,54264.0
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,54264.0
67,2011-01-10,Bought,0.0,0.0,0.0,0,0.0,54264.0
68,2011-01-11,Hold,0.0,0.0,0.0,0,0.0,54264.0
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,54264.0
70,2011-01-13,Sold,1797.6,1825.75,28.15,30,844.5,55108.5
71,2011-01-14,No trade,0.0,0.0,0.0,0,0.0,55108.5
72,2011-01-17,No trade,0.0,0.0,0.0,0,0.0,55108.5
73,2011-01-18,No trade,0.0,0.0,0.0,0,0.0,55108.5
74,2011-01-19,No trade,0.0,0.0,0.0,0,0.0,55108.5
75,2011-01-20,Bought,0.0,0.0,0.0,0,0.0,55108.5
76,2011-01-21,Sold,1776.2,1753.25,-22.95,31,-711.45,54397.05
77,2011-01-24,No trade,0.0,0.0,0.0,0,0.0,54397.05
78,2011-01-25,Bought,0.0,0.0,0.0,0,0.0,54397.05
79,2011-01-27,Sold,1774.55,1724.0,-50.55,30,-1516.5,52880.55
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,52880.55
