,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Bought,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Sold,222.2,212.6,-9.6,225,-2160.0,47840.0
33,2010-11-22,Bought,0.0,0.0,0.0,0,0.0,47840.0
34,2010-11-23,Sold,214.8,210.8,-4.0,222,-888.0,46952.0
35,2010-11-24,No trade,0.0,0.0,0.0,0,0.0,46952.0
36,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,46952.0
37,2010-11-26,Bought,0.0,0.0,0.0,0,0.0,46952.0
38,2010-11-29,Hold,0.0,0.0,0.0,0,0.0,46952.0
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,46952.0
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,46952.0
41,2010-12-02,Hold,0.0,0.0,0.0,0,0.0,46952.0
42,2010-12-03,Sold,200.05,215.35,15.3,234,3580.2,50532.2
43,2010-12-06,Bought,0.0,0.0,0.0,0,0.0,50532.2
44,2010-12-07,Sold,221.35,226.8,5.45,228,1242.6,51774.8
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,51774.8
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,51774.8
47,2010-12-10,No trade,0.0,0.0,0.0,0,0.0,51774.8
48,2010-12-13,Bought,0.0,0.0,0.0,0,0.0,51774.8
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,51774.8
50,2010-12-15,Hold,0.0,0.0,0.0,0,0.0,51774.8
51,2010-12-16,Hold,0.0,0.0,0.0,0,0.0,51774.8
52,2010-12-20,Sold,221.6,223.95,2.35,233,547.55,52322.35
53,2010-12-21,Bought,0.0,0.0,0.0,0,0.0,52322.35
54,2010-12-22,Hold,0.0,0.0,0.0,0,0.0,52322.35
55,2010-12-23,Sold,233.6,233.75,0.15,223,33.45,52355.8
56,2010-12-24,Bought,0.0,0.0,0.0,0,0.0,52355.8
57,2010-12-27,Sold,239.6,237.65,-1.95,218,-425.1,51930.7
58,2010-12-28,No trade,0.0,0.0,0.0,0,0.0,51930.7
59,2010-12-29,Bought,0.0,0.0,0.0,0,0.0,51930.7
60,2010-12-30,Hold,0.0,0.0,0.0,0,0.0,51930.7
61,2010-12-31,Hold,0.0,0.0,0.0,0,0.0,51930.7
62,2011-01-03,Sold,241.55,246.1,4.55,214,973.7,52904.4
63,2011-01-04,No trade,0.0,0.0,0.0,0,0.0,52904.4
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,52904.4
65,2011-01-06,Bought,0.0,0.0,0.0,0,0.0,52904.4
66,2011-01-07,Sold,251.35,233.3,-18.05,210,-3790.5,49113.9
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,49113.9
68,2011-01-11,Bought,0.0,0.0,0.0,0,0.0,49113.9
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,49113.9
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,49113.9
71,2011-01-14,Hold,0.0,0.0,0.0,0,0.0,49113.9
72,2011-01-17,Sold,230.6,224.85,-5.75,212,-1219.0,47894.9
73,2011-01-18,Bought,0.0,0.0,0.0,0,0.0,47894.9
74,2011-01-19,Hold,0.0,0.0,0.0,0,0.0,47894.9
75,2011-01-20,Hold,0.0,0.0,0.0,0,0.0,47894.9
76,2011-01-21,Sold,229.45,234.45,5.0,208,1040.0,48934.9
77,2011-01-24,No trade,0.0,0.0,0.0,0,0.0,48934.9
78,2011-01-25,Bought,0.0,0.0,0.0,0,0.0,48934.9
79,2011-01-27,Sold,235.1,232.95,-2.15,208,-447.2,48487.7
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,48487.7
