,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Bought,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Hold,0.0,0.0,0.0,0,0.0,50000.0
34,2010-11-23,Hold,0.0,0.0,0.0,0,0.0,50000.0
35,2010-11-24,Sold,208.85,204.56,-4.29,239,-1025.31,48974.69
36,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,48974.69
37,2010-11-26,Bought,0.0,0.0,0.0,0,0.0,48974.69
38,2010-11-29,Hold,0.0,0.0,0.0,0,0.0,48974.69
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,48974.69
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,48974.69
41,2010-12-02,Hold,0.0,0.0,0.0,0,0.0,48974.69
42,2010-12-03,Sold,204.39,214.81,10.42,239,2490.38,51465.07
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,51465.07
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,51465.07
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,51465.07
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,51465.07
47,2010-12-10,Bought,0.0,0.0,0.0,0,0.0,51465.07
48,2010-12-13,Hold,0.0,0.0,0.0,0,0.0,51465.07
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,51465.07
50,2010-12-15,Sold,203.11,196.13,-6.98,253,-1765.94,49699.13
51,2010-12-16,Bought,0.0,0.0,0.0,0,0.0,49699.13
52,2010-12-20,Sold,201.04,200.01,-1.03,247,-254.41,49444.72
53,2010-12-21,Bought,0.0,0.0,0.0,0,0.0,49444.72
54,2010-12-22,Hold,0.0,0.0,0.0,0,0.0,49444.72
55,2010-12-23,Sold,206.97,205.39,-1.58,238,-376.04,49068.68
56,2010-12-24,No trade,0.0,0.0,0.0,0,0.0,49068.68
57,2010-12-27,No trade,0.0,0.0,0.0,0,0.0,49068.68
58,2010-12-28,No trade,0.0,0.0,0.0,0,0.0,49068.68
59,2010-12-29,Bought,0.0,0.0,0.0,0,0.0,49068.68
60,2010-12-30,Hold,0.0,0.0,0.0,0,0.0,49068.68
61,2010-12-31,Hold,0.0,0.0,0.0,0,0.0,49068.68
62,2011-01-03,Hold,0.0,0.0,0.0,0,0.0,49068.68
63,2011-01-04,Sold,205.35,200.74,-4.61,238,-1097.18,47971.5
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,47971.5
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,47971.5
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,47971.5
67,2011-01-10,Bought,0.0,0.0,0.0,0,0.0,47971.5
68,2011-01-11,Hold,0.0,0.0,0.0,0,0.0,47971.5
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,47971.5
70,2011-01-13,Sold,184.36,186.54,2.18,260,566.8,48538.3
71,2011-01-14,No trade,0.0,0.0,0.0,0,0.0,48538.3
72,2011-01-17,No trade,0.0,0.0,0.0,0,0.0,48538.3
73,2011-01-18,No trade,0.0,0.0,0.0,0,0.0,48538.3
74,2011-01-19,Bought,0.0,0.0,0.0,0,0.0,48538.3
75,2011-01-20,Hold,0.0,0.0,0.0,0,0.0,48538.3
76,2011-01-21,Hold,0.0,0.0,0.0,0,0.0,48538.3
77,2011-01-24,Hold,0.0,0.0,0.0,0,0.0,48538.3
78,2011-01-25,Sold,186.04,188.71,2.67,260,694.2,49232.5
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,49232.5
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,49232.5
