,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Bought,0.0,0.0,0.0,0,0.0,50000.0
34,2010-11-23,Hold,0.0,0.0,0.0,0,0.0,50000.0
35,2010-11-24,Hold,0.0,0.0,0.0,0,0.0,50000.0
36,2010-11-25,Hold,0.0,0.0,0.0,0,0.0,50000.0
37,2010-11-26,Sold,279.65,284.7,5.05,178,898.9,50898.9
38,2010-11-29,Bought,0.0,0.0,0.0,0,0.0,50898.9
39,2010-11-30,Sold,294.35,292.35,-2.0,172,-344.0,50554.9
40,2010-12-01,Bought,0.0,0.0,0.0,0,0.0,50554.9
41,2010-12-02,Sold,303.0,297.15,-5.85,166,-971.1,49583.8
42,2010-12-03,No trade,0.0,0.0,0.0,0,0.0,49583.8
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,49583.8
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,49583.8
45,2010-12-08,Bought,0.0,0.0,0.0,0,0.0,49583.8
46,2010-12-09,Hold,0.0,0.0,0.0,0,0.0,49583.8
47,2010-12-10,Hold,0.0,0.0,0.0,0,0.0,49583.8
48,2010-12-13,Hold,0.0,0.0,0.0,0,0.0,49583.8
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,49583.8
50,2010-12-15,Sold,277.6,255.65,-21.95,178,-3907.1,45676.7
51,2010-12-16,No trade,0.0,0.0,0.0,0,0.0,45676.7
52,2010-12-20,No trade,0.0,0.0,0.0,0,0.0,45676.7
53,2010-12-21,Bought,0.0,0.0,0.0,0,0.0,45676.7
54,2010-12-22,Hold,0.0,0.0,0.0,0,0.0,45676.7
55,2010-12-23,Hold,0.0,0.0,0.0,0,0.0,45676.7
56,2010-12-24,Hold,0.0,0.0,0.0,0,0.0,45676.7
57,2010-12-27,Hold,0.0,0.0,0.0,0,0.0,45676.7
58,2010-12-28,Sold,248.0,251.85,3.85,184,708.4,46385.1
59,2010-12-29,No trade,0.0,0.0,0.0,0,0.0,46385.1
60,2010-12-30,No trade,0.0,0.0,0.0,0,0.0,46385.1
61,2010-12-31,No trade,0.0,0.0,0.0,0,0.0,46385.1
62,2011-01-03,No trade,0.0,0.0,0.0,0,0.0,46385.1
63,2011-01-04,No trade,0.0,0.0,0.0,0,0.0,46385.1
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,46385.1
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,46385.1
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,46385.1
67,2011-01-10,Bought,0.0,0.0,0.0,0,0.0,46385.1
68,2011-01-11,Hold,0.0,0.0,0.0,0,0.0,46385.1
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,46385.1
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,46385.1
71,2011-01-14,Sold,223.55,228.7,5.15,207,1066.05,47451.15
72,2011-01-17,No trade,0.0,0.0,0.0,0,0.0,47451.15
73,2011-01-18,Bought,0.0,0.0,0.0,0,0.0,47451.15
74,2011-01-19,Hold,0.0,0.0,0.0,0,0.0,47451.15
75,2011-01-20,Hold,0.0,0.0,0.0,0,0.0,47451.15
76,2011-01-21,Sold,236.9,232.05,-4.85,200,-970.0,46481.15
77,2011-01-24,Bought,0.0,0.0,0.0,0,0.0,46481.15
78,2011-01-25,Sold,238.7,231.7,-7.0,194,-1358.0,45123.15
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,45123.15
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,45123.15
