,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Bought,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Sold,375.49,370.48,-5.01,133,-666.33,49333.67
33,2010-11-22,Bought,0.0,0.0,0.0,0,0.0,49333.67
34,2010-11-23,Hold,0.0,0.0,0.0,0,0.0,49333.67
35,2010-11-24,Sold,380.46,374.49,-5.97,129,-770.13,48563.54
36,2010-11-25,Bought,0.0,0.0,0.0,0,0.0,48563.54
37,2010-11-26,Sold,383.04,380.26,-2.78,126,-350.28,48213.26
38,2010-11-29,Bought,0.0,0.0,0.0,0,0.0,48213.26
39,2010-11-30,Sold,382.99,381.38,-1.61,125,-201.25,48012.01
40,2010-12-01,No trade,0.0,0.0,0.0,0,0.0,48012.01
41,2010-12-02,Bought,0.0,0.0,0.0,0,0.0,48012.01
42,2010-12-03,Hold,0.0,0.0,0.0,0,0.0,48012.01
43,2010-12-06,Hold,0.0,0.0,0.0,0,0.0,48012.01
44,2010-12-07,Hold,0.0,0.0,0.0,0,0.0,48012.01
45,2010-12-08,Sold,387.31,391.39,4.08,123,501.84,48513.85
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,48513.85
47,2010-12-10,No trade,0.0,0.0,0.0,0,0.0,48513.85
48,2010-12-13,No trade,0.0,0.0,0.0,0,0.0,48513.85
49,2010-12-14,Bought,0.0,0.0,0.0,0,0.0,48513.85
50,2010-12-15,Hold,0.0,0.0,0.0,0,0.0,48513.85
51,2010-12-16,Hold,0.0,0.0,0.0,0,0.0,48513.85
52,2010-12-20,Hold,0.0,0.0,0.0,0,0.0,48513.85
53,2010-12-21,Sold,394.83,416.16,21.33,122,2602.26,51116.11
54,2010-12-22,No trade,0.0,0.0,0.0,0,0.0,51116.11
55,2010-12-23,No trade,0.0,0.0,0.0,0,0.0,51116.11
56,2010-12-24,Bought,0.0,0.0,0.0,0,0.0,51116.11
57,2010-12-27,Hold,0.0,0.0,0.0,0,0.0,51116.11
58,2010-12-28,Hold,0.0,0.0,0.0,0,0.0,51116.11
59,2010-12-29,Hold,0.0,0.0,0.0,0,0.0,51116.11
60,2010-12-30,Hold,0.0,0.0,0.0,0,0.0,51116.11
61,2010-12-31,Sold,421.27,430.34,9.07,121,1097.47,52213.58
62,2011-01-03,Bought,0.0,0.0,0.0,0,0.0,52213.58
63,2011-01-04,Hold,0.0,0.0,0.0,0,0.0,52213.58
64,2011-01-05,Sold,432.29,432.45,0.16,120,19.2,52232.78
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,52232.78
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,52232.78
67,2011-01-10,Bought,0.0,0.0,0.0,0,0.0,52232.78
68,2011-01-11,Sold,424.47,415.71,-8.76,123,-1077.48,51155.3
69,2011-01-12,Bought,0.0,0.0,0.0,0,0.0,51155.3
70,2011-01-13,Sold,422.16,400.65,-21.51,121,-2602.71,48552.59
71,2011-01-14,No trade,0.0,0.0,0.0,0,0.0,48552.59
72,2011-01-17,Bought,0.0,0.0,0.0,0,0.0,48552.59
73,2011-01-18,Hold,0.0,0.0,0.0,0,0.0,48552.59
74,2011-01-19,Sold,408.6,406.2,-2.4,118,-283.2,48269.39
75,2011-01-20,Bought,0.0,0.0,0.0,0,0.0,48269.39
76,2011-01-21,Sold,411.99,405.48,-6.51,117,-761.67,47507.72
77,2011-01-24,Bought,0.0,0.0,0.0,0,0.0,47507.72
78,2011-01-25,Sold,410.58,407.46,-3.12,115,-358.8,47148.92
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,47148.92
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,47148.92
