,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,Bought,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Hold,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Hold,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Sold,97.47,96.43,-1.04,512,-532.48,49467.52
34,2010-11-23,No trade,0.0,0.0,0.0,0,0.0,49467.52
35,2010-11-24,No trade,0.0,0.0,0.0,0,0.0,49467.52
36,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,49467.52
37,2010-11-26,Bought,0.0,0.0,0.0,0,0.0,49467.52
38,2010-11-29,Hold,0.0,0.0,0.0,0,0.0,49467.52
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,49467.52
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,49467.52
41,2010-12-02,Hold,0.0,0.0,0.0,0,0.0,49467.52
42,2010-12-03,Sold,86.05,96.44,10.39,574,5963.86,55431.38
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,55431.38
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,55431.38
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,55431.38
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,55431.38
47,2010-12-10,Bought,0.0,0.0,0.0,0,0.0,55431.38
48,2010-12-13,Hold,0.0,0.0,0.0,0,0.0,55431.38
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,55431.38
50,2010-12-15,Hold,0.0,0.0,0.0,0,0.0,55431.38
51,2010-12-16,Sold,91.65,94.84,3.19,604,1926.76,57358.14
52,2010-12-20,No trade,0.0,0.0,0.0,0,0.0,57358.14
53,2010-12-21,No trade,0.0,0.0,0.0,0,0.0,57358.14
54,2010-12-22,No trade,0.0,0.0,0.0,0,0.0,57358.14
55,2010-12-23,No trade,0.0,0.0,0.0,0,0.0,57358.14
56,2010-12-24,No trade,0.0,0.0,0.0,0,0.0,57358.14
57,2010-12-27,Bought,0.0,0.0,0.0,0,0.0,57358.14
58,2010-12-28,Hold,0.0,0.0,0.0,0,0.0,57358.14
59,2010-12-29,Hold,0.0,0.0,0.0,0,0.0,57358.14
60,2010-12-30,Sold,88.57,84.32,-4.25,647,-2749.75,54608.39
61,2010-12-31,Bought,0.0,0.0,0.0,0,0.0,54608.39
62,2011-01-03,Hold,0.0,0.0,0.0,0,0.0,54608.39
63,2011-01-04,Hold,0.0,0.0,0.0,0,0.0,54608.39
64,2011-01-05,Hold,0.0,0.0,0.0,0,0.0,54608.39
65,2011-01-06,Sold,85.6,85.39,-0.21,637,-133.77,54474.62
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,54474.62
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,54474.62
68,2011-01-11,No trade,0.0,0.0,0.0,0,0.0,54474.62
69,2011-01-12,No trade,0.0,0.0,0.0,0,0.0,54474.62
70,2011-01-13,Bought,0.0,0.0,0.0,0,0.0,54474.62
71,2011-01-14,Hold,0.0,0.0,0.0,0,0.0,54474.62
72,2011-01-17,Hold,0.0,0.0,0.0,0,0.0,54474.62
73,2011-01-18,Hold,0.0,0.0,0.0,0,0.0,54474.62
74,2011-01-19,Hold,0.0,0.0,0.0,0,0.0,54474.62
75,2011-01-20,Sold,77.59,78.24,0.65,702,456.3,54930.92
76,2011-01-21,Bought,0.0,0.0,0.0,0,0.0,54930.92
77,2011-01-24,Sold,81.95,82.46,0.51,670,341.7,55272.62
78,2011-01-25,No trade,0.0,0.0,0.0,0,0.0,55272.62
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,55272.62
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,55272.62
