,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Bought,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Hold,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Hold,0.0,0.0,0.0,0,0.0,50000.0
34,2010-11-23,Sold,114.63,115.0,0.37,436,161.32,50161.32
35,2010-11-24,No trade,0.0,0.0,0.0,0,0.0,50161.32
36,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,50161.32
37,2010-11-26,No trade,0.0,0.0,0.0,0,0.0,50161.32
38,2010-11-29,Bought,0.0,0.0,0.0,0,0.0,50161.32
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,50161.32
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,50161.32
41,2010-12-02,Hold,0.0,0.0,0.0,0,0.0,50161.32
42,2010-12-03,Hold,0.0,0.0,0.0,0,0.0,50161.32
43,2010-12-06,Sold,112.4,112.7,0.3,446,133.8,50295.12
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,50295.12
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,50295.12
46,2010-12-09,Bought,0.0,0.0,0.0,0,0.0,50295.12
47,2010-12-10,Hold,0.0,0.0,0.0,0,0.0,50295.12
48,2010-12-13,Sold,111.53,111.43,-0.1,450,-45.0,50250.12
49,2010-12-14,Bought,0.0,0.0,0.0,0,0.0,50250.12
50,2010-12-15,Sold,112.27,111.33,-0.94,447,-420.18,49829.94
51,2010-12-16,Bought,0.0,0.0,0.0,0,0.0,49829.94
52,2010-12-20,Sold,112.03,111.3,-0.73,444,-324.12,49505.82
53,2010-12-21,Bought,0.0,0.0,0.0,0,0.0,49505.82
54,2010-12-22,Hold,0.0,0.0,0.0,0,0.0,49505.82
55,2010-12-23,Sold,111.43,111.27,-0.16,444,-71.04,49434.78
56,2010-12-24,Bought,0.0,0.0,0.0,0,0.0,49434.78
57,2010-12-27,Hold,0.0,0.0,0.0,0,0.0,49434.78
58,2010-12-28,Hold,0.0,0.0,0.0,0,0.0,49434.78
59,2010-12-29,Hold,0.0,0.0,0.0,0,0.0,49434.78
60,2010-12-30,Sold,113.27,116.37,3.1,436,1351.6,50786.38
61,2010-12-31,No trade,0.0,0.0,0.0,0,0.0,50786.38
62,2011-01-03,No trade,0.0,0.0,0.0,0,0.0,50786.38
63,2011-01-04,No trade,0.0,0.0,0.0,0,0.0,50786.38
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,50786.38
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,50786.38
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,50786.38
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,50786.38
68,2011-01-11,No trade,0.0,0.0,0.0,0,0.0,50786.38
69,2011-01-12,Bought,0.0,0.0,0.0,0,0.0,50786.38
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,50786.38
71,2011-01-14,Sold,115.83,113.7,-2.13,438,-932.94,49853.44
72,2011-01-17,Bought,0.0,0.0,0.0,0,0.0,49853.44
73,2011-01-18,Hold,0.0,0.0,0.0,0,0.0,49853.44
74,2011-01-19,Hold,0.0,0.0,0.0,0,0.0,49853.44
75,2011-01-20,Sold,114.63,114.43,-0.2,434,-86.8,49766.64
76,2011-01-21,No trade,0.0,0.0,0.0,0,0.0,49766.64
77,2011-01-24,No trade,0.0,0.0,0.0,0,0.0,49766.64
78,2011-01-25,No trade,0.0,0.0,0.0,0,0.0,49766.64
79,2011-01-27,Bought,0.0,0.0,0.0,0,0.0,49766.64
80,2011-01-28,Hold,0.0,0.0,0.0,0,0.0,49766.64
