,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,Bought,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Hold,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Sold,241.23,230.85,-10.38,207,-2148.66,47851.34
33,2010-11-22,Bought,0.0,0.0,0.0,0,0.0,47851.34
34,2010-11-23,Hold,0.0,0.0,0.0,0,0.0,47851.34
35,2010-11-24,Sold,240.73,237.9,-2.83,198,-560.34,47291.0
36,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,47291.0
37,2010-11-26,No trade,0.0,0.0,0.0,0,0.0,47291.0
38,2010-11-29,Bought,0.0,0.0,0.0,0,0.0,47291.0
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,47291.0
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,47291.0
41,2010-12-02,Hold,0.0,0.0,0.0,0,0.0,47291.0
42,2010-12-03,Sold,233.02,242.93,9.91,202,2001.82,49292.82
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,49292.82
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,49292.82
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,49292.82
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,49292.82
47,2010-12-10,Bought,0.0,0.0,0.0,0,0.0,49292.82
48,2010-12-13,Hold,0.0,0.0,0.0,0,0.0,49292.82
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,49292.82
50,2010-12-15,Sold,236.1,224.93,-11.17,208,-2323.36,46969.46
51,2010-12-16,Bought,0.0,0.0,0.0,0,0.0,46969.46
52,2010-12-20,Sold,232.12,224.95,-7.17,202,-1448.34,45521.12
53,2010-12-21,Bought,0.0,0.0,0.0,0,0.0,45521.12
54,2010-12-22,Hold,0.0,0.0,0.0,0,0.0,45521.12
55,2010-12-23,Sold,227.38,224.55,-2.83,200,-566.0,44955.12
56,2010-12-24,Bought,0.0,0.0,0.0,0,0.0,44955.12
57,2010-12-27,Sold,225.48,223.73,-1.75,199,-348.25,44606.87
58,2010-12-28,Bought,0.0,0.0,0.0,0,0.0,44606.87
59,2010-12-29,Hold,0.0,0.0,0.0,0,0.0,44606.87
60,2010-12-30,Sold,224.57,222.48,-2.09,198,-413.82,44193.05
61,2010-12-31,Bought,0.0,0.0,0.0,0,0.0,44193.05
62,2011-01-03,Hold,0.0,0.0,0.0,0,0.0,44193.05
63,2011-01-04,Hold,0.0,0.0,0.0,0,0.0,44193.05
64,2011-01-05,Sold,226.82,224.45,-2.37,194,-459.78,43733.27
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,43733.27
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,43733.27
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,43733.27
68,2011-01-11,Bought,0.0,0.0,0.0,0,0.0,43733.27
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,43733.27
70,2011-01-13,Sold,208.95,203.32,-5.63,209,-1176.67,42556.6
71,2011-01-14,No trade,0.0,0.0,0.0,0,0.0,42556.6
72,2011-01-17,Bought,0.0,0.0,0.0,0,0.0,42556.6
73,2011-01-18,Hold,0.0,0.0,0.0,0,0.0,42556.6
74,2011-01-19,Hold,0.0,0.0,0.0,0,0.0,42556.6
75,2011-01-20,Hold,0.0,0.0,0.0,0,0.0,42556.6
76,2011-01-21,Sold,201.9,206.8,4.9,210,1029.0,43585.6
77,2011-01-24,No trade,0.0,0.0,0.0,0,0.0,43585.6
78,2011-01-25,No trade,0.0,0.0,0.0,0,0.0,43585.6
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,43585.6
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,43585.6
