,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Bought,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Sold,187.85,184.15,-3.7,266,-984.2,49015.8
33,2010-11-22,No trade,0.0,0.0,0.0,0,0.0,49015.8
34,2010-11-23,No trade,0.0,0.0,0.0,0,0.0,49015.8
35,2010-11-24,Bought,0.0,0.0,0.0,0,0.0,49015.8
36,2010-11-25,Hold,0.0,0.0,0.0,0,0.0,49015.8
37,2010-11-26,Hold,0.0,0.0,0.0,0,0.0,49015.8
38,2010-11-29,Hold,0.0,0.0,0.0,0,0.0,49015.8
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,49015.8
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,49015.8
41,2010-12-02,Sold,178.15,182.9,4.75,275,1306.25,50322.05
42,2010-12-03,Bought,0.0,0.0,0.0,0,0.0,50322.05
43,2010-12-06,Sold,185.15,187.05,1.9,271,514.9,50836.95
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,50836.95
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,50836.95
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,50836.95
47,2010-12-10,Bought,0.0,0.0,0.0,0,0.0,50836.95
48,2010-12-13,Hold,0.0,0.0,0.0,0,0.0,50836.95
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,50836.95
50,2010-12-15,Sold,192.4,196.95,4.55,264,1201.2,52038.15
51,2010-12-16,No trade,0.0,0.0,0.0,0,0.0,52038.15
52,2010-12-20,No trade,0.0,0.0,0.0,0,0.0,52038.15
53,2010-12-21,No trade,0.0,0.0,0.0,0,0.0,52038.15
54,2010-12-22,Bought,0.0,0.0,0.0,0,0.0,52038.15
55,2010-12-23,Hold,0.0,0.0,0.0,0,0.0,52038.15
56,2010-12-24,Hold,0.0,0.0,0.0,0,0.0,52038.15
57,2010-12-27,Hold,0.0,0.0,0.0,0,0.0,52038.15
58,2010-12-28,Sold,192.8,196.5,3.7,269,995.3,53033.45
59,2010-12-29,No trade,0.0,0.0,0.0,0,0.0,53033.45
60,2010-12-30,Bought,0.0,0.0,0.0,0,0.0,53033.45
61,2010-12-31,Sold,202.25,200.65,-1.6,262,-419.2,52614.25
62,2011-01-03,No trade,0.0,0.0,0.0,0,0.0,52614.25
63,2011-01-04,No trade,0.0,0.0,0.0,0,0.0,52614.25
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,52614.25
65,2011-01-06,Bought,0.0,0.0,0.0,0,0.0,52614.25
66,2011-01-07,Sold,202.0,197.05,-4.95,260,-1287.0,51327.25
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,51327.25
68,2011-01-11,No trade,0.0,0.0,0.0,0,0.0,51327.25
69,2011-01-12,Bought,0.0,0.0,0.0,0,0.0,51327.25
70,2011-01-13,Sold,191.5,189.0,-2.5,268,-670.0,50657.25
71,2011-01-14,No trade,0.0,0.0,0.0,0,0.0,50657.25
72,2011-01-17,Bought,0.0,0.0,0.0,0,0.0,50657.25
73,2011-01-18,Hold,0.0,0.0,0.0,0,0.0,50657.25
74,2011-01-19,Hold,0.0,0.0,0.0,0,0.0,50657.25
75,2011-01-20,Hold,0.0,0.0,0.0,0,0.0,50657.25
76,2011-01-21,Hold,0.0,0.0,0.0,0,0.0,50657.25
77,2011-01-24,Hold,0.0,0.0,0.0,0,0.0,50657.25
78,2011-01-25,Sold,187.05,196.05,9.0,270,2430.0,53087.25
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,53087.25
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,53087.25
