,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Bought,0.0,0.0,0.0,0,0.0,50000.0
34,2010-11-23,Hold,0.0,0.0,0.0,0,0.0,50000.0
35,2010-11-24,Sold,216.12,207.91,-8.21,231,-1896.51,48103.49
36,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,48103.49
37,2010-11-26,Bought,0.0,0.0,0.0,0,0.0,48103.49
38,2010-11-29,Hold,0.0,0.0,0.0,0,0.0,48103.49
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,48103.49
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,48103.49
41,2010-12-02,Hold,0.0,0.0,0.0,0,0.0,48103.49
42,2010-12-03,Sold,206.82,219.93,13.11,232,3041.52,51145.01
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,51145.01
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,51145.01
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,51145.01
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,51145.01
47,2010-12-10,No trade,0.0,0.0,0.0,0,0.0,51145.01
48,2010-12-13,Bought,0.0,0.0,0.0,0,0.0,51145.01
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,51145.01
50,2010-12-15,Sold,221.35,220.62,-0.73,231,-168.63,50976.38
51,2010-12-16,Bought,0.0,0.0,0.0,0,0.0,50976.38
52,2010-12-20,Sold,221.66,217.41,-4.25,229,-973.25,50003.13
53,2010-12-21,No trade,0.0,0.0,0.0,0,0.0,50003.13
54,2010-12-22,Bought,0.0,0.0,0.0,0,0.0,50003.13
55,2010-12-23,Sold,217.53,216.71,-0.82,229,-187.78,49815.35
56,2010-12-24,No trade,0.0,0.0,0.0,0,0.0,49815.35
57,2010-12-27,Bought,0.0,0.0,0.0,0,0.0,49815.35
58,2010-12-28,Sold,216.59,214.98,-1.61,229,-368.69,49446.66
59,2010-12-29,Bought,0.0,0.0,0.0,0,0.0,49446.66
60,2010-12-30,Sold,217.23,215.77,-1.46,227,-331.42,49115.24
61,2010-12-31,No trade,0.0,0.0,0.0,0,0.0,49115.24
62,2011-01-03,Bought,0.0,0.0,0.0,0,0.0,49115.24
63,2011-01-04,Sold,215.47,214.51,-0.96,227,-217.92,48897.32
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,48897.32
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,48897.32
66,2011-01-07,Bought,0.0,0.0,0.0,0,0.0,48897.32
67,2011-01-10,Hold,0.0,0.0,0.0,0,0.0,48897.32
68,2011-01-11,Hold,0.0,0.0,0.0,0,0.0,48897.32
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,48897.32
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,48897.32
71,2011-01-14,Sold,200.98,196.51,-4.47,243,-1086.21,47811.11
72,2011-01-17,No trade,0.0,0.0,0.0,0,0.0,47811.11
73,2011-01-18,No trade,0.0,0.0,0.0,0,0.0,47811.11
74,2011-01-19,No trade,0.0,0.0,0.0,0,0.0,47811.11
75,2011-01-20,No trade,0.0,0.0,0.0,0,0.0,47811.11
76,2011-01-21,No trade,0.0,0.0,0.0,0,0.0,47811.11
77,2011-01-24,Bought,0.0,0.0,0.0,0,0.0,47811.11
78,2011-01-25,Hold,0.0,0.0,0.0,0,0.0,47811.11
79,2011-01-27,Sold,189.71,185.63,-4.08,252,-1028.16,46782.95
80,2011-01-28,Bought,0.0,0.0,0.0,0,0.0,46782.95
