,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Bought,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Hold,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Sold,101.4,101.45,0.05,493,24.65,50024.65
34,2010-11-23,No trade,0.0,0.0,0.0,0,0.0,50024.65
35,2010-11-24,No trade,0.0,0.0,0.0,0,0.0,50024.65
36,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,50024.65
37,2010-11-26,Bought,0.0,0.0,0.0,0,0.0,50024.65
38,2010-11-29,Hold,0.0,0.0,0.0,0,0.0,50024.65
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,50024.65
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,50024.65
41,2010-12-02,Hold,0.0,0.0,0.0,0,0.0,50024.65
42,2010-12-03,Hold,0.0,0.0,0.0,0,0.0,50024.65
43,2010-12-06,Sold,96.45,99.7,3.25,518,1683.5,51708.15
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,51708.15
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,51708.15
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,51708.15
47,2010-12-10,Bought,0.0,0.0,0.0,0,0.0,51708.15
48,2010-12-13,Hold,0.0,0.0,0.0,0,0.0,51708.15
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,51708.15
50,2010-12-15,Sold,96.1,96.65,0.55,538,295.9,52004.05
51,2010-12-16,No trade,0.0,0.0,0.0,0,0.0,52004.05
52,2010-12-20,No trade,0.0,0.0,0.0,0,0.0,52004.05
53,2010-12-21,Bought,0.0,0.0,0.0,0,0.0,52004.05
54,2010-12-22,Hold,0.0,0.0,0.0,0,0.0,52004.05
55,2010-12-23,Sold,97.15,97.25,0.1,535,53.5,52057.55
56,2010-12-24,Bought,0.0,0.0,0.0,0,0.0,52057.55
57,2010-12-27,Sold,97.75,96.7,-1.05,532,-558.6,51498.95
58,2010-12-28,No trade,0.0,0.0,0.0,0,0.0,51498.95
59,2010-12-29,No trade,0.0,0.0,0.0,0,0.0,51498.95
60,2010-12-30,Bought,0.0,0.0,0.0,0,0.0,51498.95
61,2010-12-31,Hold,0.0,0.0,0.0,0,0.0,51498.95
62,2011-01-03,Hold,0.0,0.0,0.0,0,0.0,51498.95
63,2011-01-04,Hold,0.0,0.0,0.0,0,0.0,51498.95
64,2011-01-05,Sold,96.6,98.1,1.5,533,799.5,52298.45
65,2011-01-06,Bought,0.0,0.0,0.0,0,0.0,52298.45
66,2011-01-07,Sold,99.0,97.85,-1.15,528,-607.2,51691.25
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,51691.25
68,2011-01-11,No trade,0.0,0.0,0.0,0,0.0,51691.25
69,2011-01-12,Bought,0.0,0.0,0.0,0,0.0,51691.25
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,51691.25
71,2011-01-14,Hold,0.0,0.0,0.0,0,0.0,51691.25
72,2011-01-17,Hold,0.0,0.0,0.0,0,0.0,51691.25
73,2011-01-18,Hold,0.0,0.0,0.0,0,0.0,51691.25
74,2011-01-19,Sold,97.25,97.9,0.65,531,345.15,52036.4
75,2011-01-20,Bought,0.0,0.0,0.0,0,0.0,52036.4
76,2011-01-21,Hold,0.0,0.0,0.0,0,0.0,52036.4
77,2011-01-24,Sold,98.9,98.55,-0.35,526,-184.1,51852.3
78,2011-01-25,No trade,0.0,0.0,0.0,0,0.0,51852.3
79,2011-01-27,Bought,0.0,0.0,0.0,0,0.0,51852.3
80,2011-01-28,Sold,98.8,96.55,-2.25,524,-1179.0,50673.3
