,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,Bought,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Hold,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Sold,308.06,299.1,-8.96,162,-1451.52,48548.48
33,2010-11-22,Bought,0.0,0.0,0.0,0,0.0,48548.48
34,2010-11-23,Sold,303.98,295.34,-8.64,159,-1373.76,47174.72
35,2010-11-24,No trade,0.0,0.0,0.0,0,0.0,47174.72
36,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,47174.72
37,2010-11-26,Bought,0.0,0.0,0.0,0,0.0,47174.72
38,2010-11-29,Hold,0.0,0.0,0.0,0,0.0,47174.72
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,47174.72
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,47174.72
41,2010-12-02,Sold,286.27,309.92,23.65,164,3878.6,51053.32
42,2010-12-03,No trade,0.0,0.0,0.0,0,0.0,51053.32
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,51053.32
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,51053.32
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,51053.32
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,51053.32
47,2010-12-10,Bought,0.0,0.0,0.0,0,0.0,51053.32
48,2010-12-13,Hold,0.0,0.0,0.0,0,0.0,51053.32
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,51053.32
50,2010-12-15,Sold,273.24,269.8,-3.44,186,-639.84,50413.48
51,2010-12-16,Bought,0.0,0.0,0.0,0,0.0,50413.48
52,2010-12-20,Sold,276.3,270.05,-6.25,182,-1137.5,49275.98
53,2010-12-21,Bought,0.0,0.0,0.0,0,0.0,49275.98
54,2010-12-22,Hold,0.0,0.0,0.0,0,0.0,49275.98
55,2010-12-23,Hold,0.0,0.0,0.0,0,0.0,49275.98
56,2010-12-24,Sold,274.38,275.54,1.16,179,207.64,49483.62
57,2010-12-27,No trade,0.0,0.0,0.0,0,0.0,49483.62
58,2010-12-28,No trade,0.0,0.0,0.0,0,0.0,49483.62
59,2010-12-29,Bought,0.0,0.0,0.0,0,0.0,49483.62
60,2010-12-30,Hold,0.0,0.0,0.0,0,0.0,49483.62
61,2010-12-31,Hold,0.0,0.0,0.0,0,0.0,49483.62
62,2011-01-03,Hold,0.0,0.0,0.0,0,0.0,49483.62
63,2011-01-04,Sold,275.52,273.56,-1.96,179,-350.84,49132.78
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,49132.78
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,49132.78
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,49132.78
67,2011-01-10,Bought,0.0,0.0,0.0,0,0.0,49132.78
68,2011-01-11,Hold,0.0,0.0,0.0,0,0.0,49132.78
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,49132.78
70,2011-01-13,Sold,254.71,256.07,1.36,192,261.12,49393.9
71,2011-01-14,No trade,0.0,0.0,0.0,0,0.0,49393.9
72,2011-01-17,No trade,0.0,0.0,0.0,0,0.0,49393.9
73,2011-01-18,Bought,0.0,0.0,0.0,0,0.0,49393.9
74,2011-01-19,Hold,0.0,0.0,0.0,0,0.0,49393.9
75,2011-01-20,Hold,0.0,0.0,0.0,0,0.0,49393.9
76,2011-01-21,Hold,0.0,0.0,0.0,0,0.0,49393.9
77,2011-01-24,Hold,0.0,0.0,0.0,0,0.0,49393.9
78,2011-01-25,Sold,255.46,267.8,12.34,193,2381.62,51775.52
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,51775.52
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,51775.52
