,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Bought,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Hold,0.0,0.0,0.0,0,0.0,50000.0
34,2010-11-23,Hold,0.0,0.0,0.0,0,0.0,50000.0
35,2010-11-24,Hold,0.0,0.0,0.0,0,0.0,50000.0
36,2010-11-25,Hold,0.0,0.0,0.0,0,0.0,50000.0
37,2010-11-26,Sold,221.49,223.12,1.63,225,366.75,50366.75
38,2010-11-29,No trade,0.0,0.0,0.0,0,0.0,50366.75
39,2010-11-30,No trade,0.0,0.0,0.0,0,0.0,50366.75
40,2010-12-01,Bought,0.0,0.0,0.0,0,0.0,50366.75
41,2010-12-02,Hold,0.0,0.0,0.0,0,0.0,50366.75
42,2010-12-03,Sold,224.32,222.45,-1.87,224,-418.88,49947.87
43,2010-12-06,Bought,0.0,0.0,0.0,0,0.0,49947.87
44,2010-12-07,Hold,0.0,0.0,0.0,0,0.0,49947.87
45,2010-12-08,Sold,227.98,229.2,1.22,219,267.18,50215.05
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,50215.05
47,2010-12-10,No trade,0.0,0.0,0.0,0,0.0,50215.05
48,2010-12-13,No trade,0.0,0.0,0.0,0,0.0,50215.05
49,2010-12-14,Bought,0.0,0.0,0.0,0,0.0,50215.05
50,2010-12-15,Sold,226.23,223.23,-3.0,221,-663.0,49552.05
51,2010-12-16,Bought,0.0,0.0,0.0,0,0.0,49552.05
52,2010-12-20,Sold,225.0,221.62,-3.38,220,-743.6,48808.45
53,2010-12-21,No trade,0.0,0.0,0.0,0,0.0,48808.45
54,2010-12-22,Bought,0.0,0.0,0.0,0,0.0,48808.45
55,2010-12-23,Hold,0.0,0.0,0.0,0,0.0,48808.45
56,2010-12-24,Hold,0.0,0.0,0.0,0,0.0,48808.45
57,2010-12-27,Hold,0.0,0.0,0.0,0,0.0,48808.45
58,2010-12-28,Sold,215.6,241.62,26.02,226,5880.52,54688.97
59,2010-12-29,No trade,0.0,0.0,0.0,0,0.0,54688.97
60,2010-12-30,No trade,0.0,0.0,0.0,0,0.0,54688.97
61,2010-12-31,Bought,0.0,0.0,0.0,0,0.0,54688.97
62,2011-01-03,Hold,0.0,0.0,0.0,0,0.0,54688.97
63,2011-01-04,Hold,0.0,0.0,0.0,0,0.0,54688.97
64,2011-01-05,Sold,242.48,244.02,1.54,225,346.5,55035.47
65,2011-01-06,Bought,0.0,0.0,0.0,0,0.0,55035.47
66,2011-01-07,Sold,250.0,246.68,-3.32,220,-730.4,54305.07
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,54305.07
68,2011-01-11,No trade,0.0,0.0,0.0,0,0.0,54305.07
69,2011-01-12,Bought,0.0,0.0,0.0,0,0.0,54305.07
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,54305.07
71,2011-01-14,Sold,242.62,237.4,-5.22,223,-1164.06,53141.01
72,2011-01-17,No trade,0.0,0.0,0.0,0,0.0,53141.01
73,2011-01-18,Bought,0.0,0.0,0.0,0,0.0,53141.01
74,2011-01-19,Hold,0.0,0.0,0.0,0,0.0,53141.01
75,2011-01-20,Hold,0.0,0.0,0.0,0,0.0,53141.01
76,2011-01-21,Sold,242.18,242.68,0.5,219,109.5,53250.51
77,2011-01-24,No trade,0.0,0.0,0.0,0,0.0,53250.51
78,2011-01-25,No trade,0.0,0.0,0.0,0,0.0,53250.51
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,53250.51
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,53250.51
