,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Bought,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Sold,243.54,235.28,-8.26,205,-1693.3,48306.7
33,2010-11-22,Bought,0.0,0.0,0.0,0,0.0,48306.7
34,2010-11-23,Hold,0.0,0.0,0.0,0,0.0,48306.7
35,2010-11-24,Hold,0.0,0.0,0.0,0,0.0,48306.7
36,2010-11-25,Sold,242.93,238.6,-4.33,198,-857.34,47449.36
37,2010-11-26,No trade,0.0,0.0,0.0,0,0.0,47449.36
38,2010-11-29,Bought,0.0,0.0,0.0,0,0.0,47449.36
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,47449.36
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,47449.36
41,2010-12-02,Hold,0.0,0.0,0.0,0,0.0,47449.36
42,2010-12-03,Sold,234.68,260.15,25.47,202,5144.94,52594.3
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,52594.3
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,52594.3
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,52594.3
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,52594.3
47,2010-12-10,No trade,0.0,0.0,0.0,0,0.0,52594.3
48,2010-12-13,Bought,0.0,0.0,0.0,0,0.0,52594.3
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,52594.3
50,2010-12-15,Hold,0.0,0.0,0.0,0,0.0,52594.3
51,2010-12-16,Hold,0.0,0.0,0.0,0,0.0,52594.3
52,2010-12-20,Hold,0.0,0.0,0.0,0,0.0,52594.3
53,2010-12-21,Sold,252.73,267.14,14.41,208,2997.28,55591.58
54,2010-12-22,No trade,0.0,0.0,0.0,0,0.0,55591.58
55,2010-12-23,No trade,0.0,0.0,0.0,0,0.0,55591.58
56,2010-12-24,No trade,0.0,0.0,0.0,0,0.0,55591.58
57,2010-12-27,No trade,0.0,0.0,0.0,0,0.0,55591.58
58,2010-12-28,No trade,0.0,0.0,0.0,0,0.0,55591.58
59,2010-12-29,Bought,0.0,0.0,0.0,0,0.0,55591.58
60,2010-12-30,Hold,0.0,0.0,0.0,0,0.0,55591.58
61,2010-12-31,Hold,0.0,0.0,0.0,0,0.0,55591.58
62,2011-01-03,Hold,0.0,0.0,0.0,0,0.0,55591.58
63,2011-01-04,Sold,252.07,256.92,4.85,220,1067.0,56658.58
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,56658.58
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,56658.58
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,56658.58
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,56658.58
68,2011-01-11,Bought,0.0,0.0,0.0,0,0.0,56658.58
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,56658.58
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,56658.58
71,2011-01-14,Sold,229.15,233.97,4.82,247,1190.54,57849.12
72,2011-01-17,No trade,0.0,0.0,0.0,0,0.0,57849.12
73,2011-01-18,No trade,0.0,0.0,0.0,0,0.0,57849.12
74,2011-01-19,No trade,0.0,0.0,0.0,0,0.0,57849.12
75,2011-01-20,Bought,0.0,0.0,0.0,0,0.0,57849.12
76,2011-01-21,Sold,236.4,234.96,-1.44,244,-351.36,57497.76
77,2011-01-24,No trade,0.0,0.0,0.0,0,0.0,57497.76
78,2011-01-25,No trade,0.0,0.0,0.0,0,0.0,57497.76
79,2011-01-27,Bought,0.0,0.0,0.0,0,0.0,57497.76
80,2011-01-28,Sold,236.63,227.62,-9.01,242,-2180.42,55317.34
