,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Bought,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Hold,0.0,0.0,0.0,0,0.0,50000.0
34,2010-11-23,Hold,0.0,0.0,0.0,0,0.0,50000.0
35,2010-11-24,Sold,507.7,502.38,-5.32,98,-521.36,49478.64
36,2010-11-25,Bought,0.0,0.0,0.0,0,0.0,49478.64
37,2010-11-26,Hold,0.0,0.0,0.0,0,0.0,49478.64
38,2010-11-29,Hold,0.0,0.0,0.0,0,0.0,49478.64
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,49478.64
40,2010-12-01,Sold,510.9,540.95,30.05,96,2884.8,52363.44
41,2010-12-02,No trade,0.0,0.0,0.0,0,0.0,52363.44
42,2010-12-03,No trade,0.0,0.0,0.0,0,0.0,52363.44
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,52363.44
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,52363.44
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,52363.44
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,52363.44
47,2010-12-10,Bought,0.0,0.0,0.0,0,0.0,52363.44
48,2010-12-13,Hold,0.0,0.0,0.0,0,0.0,52363.44
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,52363.44
50,2010-12-15,Hold,0.0,0.0,0.0,0,0.0,52363.44
51,2010-12-16,Hold,0.0,0.0,0.0,0,0.0,52363.44
52,2010-12-20,Hold,0.0,0.0,0.0,0,0.0,52363.44
53,2010-12-21,Sold,537.45,580.4,42.95,97,4166.15,56529.59
54,2010-12-22,No trade,0.0,0.0,0.0,0,0.0,56529.59
55,2010-12-23,No trade,0.0,0.0,0.0,0,0.0,56529.59
56,2010-12-24,No trade,0.0,0.0,0.0,0,0.0,56529.59
57,2010-12-27,No trade,0.0,0.0,0.0,0,0.0,56529.59
58,2010-12-28,Bought,0.0,0.0,0.0,0,0.0,56529.59
59,2010-12-29,Hold,0.0,0.0,0.0,0,0.0,56529.59
60,2010-12-30,Hold,0.0,0.0,0.0,0,0.0,56529.59
61,2010-12-31,Sold,573.17,582.83,9.66,98,946.68,57476.27
62,2011-01-03,No trade,0.0,0.0,0.0,0,0.0,57476.27
63,2011-01-04,No trade,0.0,0.0,0.0,0,0.0,57476.27
64,2011-01-05,Bought,0.0,0.0,0.0,0,0.0,57476.27
65,2011-01-06,Hold,0.0,0.0,0.0,0,0.0,57476.27
66,2011-01-07,Sold,579.47,571.33,-8.14,99,-805.86,56670.41
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,56670.41
68,2011-01-11,No trade,0.0,0.0,0.0,0,0.0,56670.41
69,2011-01-12,Bought,0.0,0.0,0.0,0,0.0,56670.41
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,56670.41
71,2011-01-14,Hold,0.0,0.0,0.0,0,0.0,56670.41
72,2011-01-17,Hold,0.0,0.0,0.0,0,0.0,56670.41
73,2011-01-18,Hold,0.0,0.0,0.0,0,0.0,56670.41
74,2011-01-19,Sold,567.97,596.5,28.53,99,2824.47,59494.88
75,2011-01-20,Bought,0.0,0.0,0.0,0,0.0,59494.88
76,2011-01-21,Sold,606.1,605.83,-0.27,98,-26.46,59468.42
77,2011-01-24,No trade,0.0,0.0,0.0,0,0.0,59468.42
78,2011-01-25,No trade,0.0,0.0,0.0,0,0.0,59468.42
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,59468.42
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,59468.42
