,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,No trade,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Bought,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Hold,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Hold,0.0,0.0,0.0,0,0.0,50000.0
34,2010-11-23,Sold,171.24,168.4,-2.84,291,-826.44,49173.56
35,2010-11-24,No trade,0.0,0.0,0.0,0,0.0,49173.56
36,2010-11-25,No trade,0.0,0.0,0.0,0,0.0,49173.56
37,2010-11-26,Bought,0.0,0.0,0.0,0,0.0,49173.56
38,2010-11-29,Hold,0.0,0.0,0.0,0,0.0,49173.56
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,49173.56
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,49173.56
41,2010-12-02,Hold,0.0,0.0,0.0,0,0.0,49173.56
42,2010-12-03,Sold,156.2,167.24,11.04,314,3466.56,52640.12
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,52640.12
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,52640.12
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,52640.12
46,2010-12-09,No trade,0.0,0.0,0.0,0,0.0,52640.12
47,2010-12-10,No trade,0.0,0.0,0.0,0,0.0,52640.12
48,2010-12-13,Bought,0.0,0.0,0.0,0,0.0,52640.12
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,52640.12
50,2010-12-15,Hold,0.0,0.0,0.0,0,0.0,52640.12
51,2010-12-16,Hold,0.0,0.0,0.0,0,0.0,52640.12
52,2010-12-20,Sold,162.1,165.73,3.63,324,1176.12,53816.24
53,2010-12-21,Bought,0.0,0.0,0.0,0,0.0,53816.24
54,2010-12-22,Hold,0.0,0.0,0.0,0,0.0,53816.24
55,2010-12-23,Sold,174.79,171.31,-3.48,307,-1068.36,52747.88
56,2010-12-24,No trade,0.0,0.0,0.0,0,0.0,52747.88
57,2010-12-27,No trade,0.0,0.0,0.0,0,0.0,52747.88
58,2010-12-28,No trade,0.0,0.0,0.0,0,0.0,52747.88
59,2010-12-29,Bought,0.0,0.0,0.0,0,0.0,52747.88
60,2010-12-30,Hold,0.0,0.0,0.0,0,0.0,52747.88
61,2010-12-31,Hold,0.0,0.0,0.0,0,0.0,52747.88
62,2011-01-03,Hold,0.0,0.0,0.0,0,0.0,52747.88
63,2011-01-04,Sold,173.74,186.15,12.41,303,3760.23,56508.11
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,56508.11
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,56508.11
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,56508.11
67,2011-01-10,No trade,0.0,0.0,0.0,0,0.0,56508.11
68,2011-01-11,No trade,0.0,0.0,0.0,0,0.0,56508.11
69,2011-01-12,Bought,0.0,0.0,0.0,0,0.0,56508.11
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,56508.11
71,2011-01-14,Sold,173.81,169.41,-4.4,325,-1430.0,55078.11
72,2011-01-17,Bought,0.0,0.0,0.0,0,0.0,55078.11
73,2011-01-18,Hold,0.0,0.0,0.0,0,0.0,55078.11
74,2011-01-19,Sold,172.9,172.36,-0.54,318,-171.72,54906.39
75,2011-01-20,Bought,0.0,0.0,0.0,0,0.0,54906.39
76,2011-01-21,Sold,173.93,172.61,-1.32,315,-415.8,54490.59
77,2011-01-24,Bought,0.0,0.0,0.0,0,0.0,54490.59
78,2011-01-25,Sold,173.93,173.09,-0.84,313,-262.92,54227.67
79,2011-01-27,No trade,0.0,0.0,0.0,0,0.0,54227.67
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,54227.67
