,Date,Action,Investment,Return,Profit,Stock Count,Total Profit,Capital
0,2010-10-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
1,2010-10-05,No trade,0.0,0.0,0.0,0,0.0,50000.0
2,2010-10-06,No trade,0.0,0.0,0.0,0,0.0,50000.0
3,2010-10-07,No trade,0.0,0.0,0.0,0,0.0,50000.0
4,2010-10-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
5,2010-10-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
6,2010-10-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
7,2010-10-13,No trade,0.0,0.0,0.0,0,0.0,50000.0
8,2010-10-14,No trade,0.0,0.0,0.0,0,0.0,50000.0
9,2010-10-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
10,2010-10-18,No trade,0.0,0.0,0.0,0,0.0,50000.0
11,2010-10-19,No trade,0.0,0.0,0.0,0,0.0,50000.0
12,2010-10-20,No trade,0.0,0.0,0.0,0,0.0,50000.0
13,2010-10-21,No trade,0.0,0.0,0.0,0,0.0,50000.0
14,2010-10-22,No trade,0.0,0.0,0.0,0,0.0,50000.0
15,2010-10-25,No trade,0.0,0.0,0.0,0,0.0,50000.0
16,2010-10-26,No trade,0.0,0.0,0.0,0,0.0,50000.0
17,2010-10-27,No trade,0.0,0.0,0.0,0,0.0,50000.0
18,2010-10-28,No trade,0.0,0.0,0.0,0,0.0,50000.0
19,2010-10-29,No trade,0.0,0.0,0.0,0,0.0,50000.0
20,2010-11-01,No trade,0.0,0.0,0.0,0,0.0,50000.0
21,2010-11-02,No trade,0.0,0.0,0.0,0,0.0,50000.0
22,2010-11-03,No trade,0.0,0.0,0.0,0,0.0,50000.0
23,2010-11-04,No trade,0.0,0.0,0.0,0,0.0,50000.0
24,2010-11-08,No trade,0.0,0.0,0.0,0,0.0,50000.0
25,2010-11-09,No trade,0.0,0.0,0.0,0,0.0,50000.0
26,2010-11-10,No trade,0.0,0.0,0.0,0,0.0,50000.0
27,2010-11-11,No trade,0.0,0.0,0.0,0,0.0,50000.0
28,2010-11-12,No trade,0.0,0.0,0.0,0,0.0,50000.0
29,2010-11-15,No trade,0.0,0.0,0.0,0,0.0,50000.0
30,2010-11-16,Bought,0.0,0.0,0.0,0,0.0,50000.0
31,2010-11-18,Hold,0.0,0.0,0.0,0,0.0,50000.0
32,2010-11-19,Hold,0.0,0.0,0.0,0,0.0,50000.0
33,2010-11-22,Hold,0.0,0.0,0.0,0,0.0,50000.0
34,2010-11-23,Hold,0.0,0.0,0.0,0,0.0,50000.0
35,2010-11-24,Sold,188.65,183.2,-5.45,265,-1444.25,48555.75
36,2010-11-25,Bought,0.0,0.0,0.0,0,0.0,48555.75
37,2010-11-26,Sold,184.15,182.9,-1.25,263,-328.75,48227.0
38,2010-11-29,Bought,0.0,0.0,0.0,0,0.0,48227.0
39,2010-11-30,Hold,0.0,0.0,0.0,0,0.0,48227.0
40,2010-12-01,Hold,0.0,0.0,0.0,0,0.0,48227.0
41,2010-12-02,Sold,185.55,190.25,4.7,259,1217.3,49444.3
42,2010-12-03,No trade,0.0,0.0,0.0,0,0.0,49444.3
43,2010-12-06,No trade,0.0,0.0,0.0,0,0.0,49444.3
44,2010-12-07,No trade,0.0,0.0,0.0,0,0.0,49444.3
45,2010-12-08,No trade,0.0,0.0,0.0,0,0.0,49444.3
46,2010-12-09,Bought,0.0,0.0,0.0,0,0.0,49444.3
47,2010-12-10,Hold,0.0,0.0,0.0,0,0.0,49444.3
48,2010-12-13,Hold,0.0,0.0,0.0,0,0.0,49444.3
49,2010-12-14,Hold,0.0,0.0,0.0,0,0.0,49444.3
50,2010-12-15,Hold,0.0,0.0,0.0,0,0.0,49444.3
51,2010-12-16,Sold,172.05,161.05,-11.0,287,-3157.0,46287.3
52,2010-12-20,No trade,0.0,0.0,0.0,0,0.0,46287.3
53,2010-12-21,Bought,0.0,0.0,0.0,0,0.0,46287.3
54,2010-12-22,Hold,0.0,0.0,0.0,0,0.0,46287.3
55,2010-12-23,Hold,0.0,0.0,0.0,0,0.0,46287.3
56,2010-12-24,Hold,0.0,0.0,0.0,0,0.0,46287.3
57,2010-12-27,Sold,159.2,158.35,-0.85,290,-246.5,46040.8
58,2010-12-28,Bought,0.0,0.0,0.0,0,0.0,46040.8
59,2010-12-29,Hold,0.0,0.0,0.0,0,0.0,46040.8
60,2010-12-30,Hold,0.0,0.0,0.0,0,0.0,46040.8
61,2010-12-31,Sold,162.5,172.95,10.45,283,2957.35,48998.15
62,2011-01-03,No trade,0.0,0.0,0.0,0,0.0,48998.15
63,2011-01-04,No trade,0.0,0.0,0.0,0,0.0,48998.15
64,2011-01-05,No trade,0.0,0.0,0.0,0,0.0,48998.15
65,2011-01-06,No trade,0.0,0.0,0.0,0,0.0,48998.15
66,2011-01-07,No trade,0.0,0.0,0.0,0,0.0,48998.15
67,2011-01-10,Bought,0.0,0.0,0.0,0,0.0,48998.15
68,2011-01-11,Hold,0.0,0.0,0.0,0,0.0,48998.15
69,2011-01-12,Hold,0.0,0.0,0.0,0,0.0,48998.15
70,2011-01-13,Hold,0.0,0.0,0.0,0,0.0,48998.15
71,2011-01-14,Sold,155.8,154.05,-1.75,314,-549.5,48448.65
72,2011-01-17,No trade,0.0,0.0,0.0,0,0.0,48448.65
73,2011-01-18,Bought,0.0,0.0,0.0,0,0.0,48448.65
74,2011-01-19,Hold,0.0,0.0,0.0,0,0.0,48448.65
75,2011-01-20,Sold,155.75,152.4,-3.35,311,-1041.85,47406.8
76,2011-01-21,No trade,0.0,0.0,0.0,0,0.0,47406.8
77,2011-01-24,Bought,0.0,0.0,0.0,0,0.0,47406.8
78,2011-01-25,Hold,0.0,0.0,0.0,0,0.0,47406.8
79,2011-01-27,Sold,155.05,149.35,-5.7,305,-1738.5,45668.3
80,2011-01-28,No trade,0.0,0.0,0.0,0,0.0,45668.3
