Date,Open,High,Low,Close,Adj Close,Volume
2010-10-04,275.681000,278.269012,273.825012,274.808990,206.428543,1431586
2010-10-05,278.269012,278.269012,276.638000,276.638000,207.802460,1236482
2010-10-06,278.381012,281.783997,274.022003,274.865997,206.471359,2972196
2010-10-07,276.243988,277.537994,270.928009,272.080994,204.379364,3141680
2010-10-08,272.812012,280.490997,272.812012,275.709015,207.104645,3456677
2010-10-11,278.437988,280.125000,275.203003,278.774994,209.407700,2561301
2010-10-12,279.562012,282.263000,277.058990,281.109009,211.160950,4457212
2010-10-13,282.037994,286.875000,279.281006,285.778015,214.668198,4379477
2010-10-14,285.046997,288.506012,278.493988,283.303009,212.809067,2369198
2010-10-15,282.937988,284.455994,276.750000,281.165985,211.203735,1518770
2010-10-18,281.165985,284.062012,275.653015,282.149994,211.942917,1496642
2010-10-19,282.375000,292.640991,280.181000,286.593994,215.281082,3280628
2010-10-20,284.259003,288.450012,278.466003,279.028015,209.597778,1844887
2010-10-21,282.571991,283.500000,278.830994,282.290985,212.048828,2380068
2010-10-22,282.937988,286.058990,281.278015,283.752991,213.147034,1303835
2010-10-25,285.187988,286.763000,282.544006,284.118988,213.421967,1810164
2010-10-26,284.062012,284.990997,277.931000,279.421997,209.893723,2192843
2010-10-27,279.562012,279.843994,275.230988,277.341003,208.330551,1458060
2010-10-28,277.875000,283.388000,272.250000,275.653015,207.062576,3114021
2010-10-29,279.000000,279.477997,272.924988,276.497009,207.696579,1436930
2010-11-01,277.368988,280.265991,273.600006,276.890991,207.992508,2361435
2010-11-02,279.421997,279.674988,271.716003,273.571991,205.499374,2262236
2010-11-03,276.243988,279.450012,271.265991,273.712006,205.604507,5767458
2010-11-04,275.625000,278.888000,275.174988,278.240997,209.006561,1722137
2010-11-08,279.562012,280.828003,278.437988,278.915985,209.513626,1567593
2010-11-09,279.562012,281.812012,277.987000,279.955994,210.294830,1771918
2010-11-10,281.138000,283.218994,278.549988,281.334015,211.329971,2210560
2010-11-11,281.812012,283.950012,274.556000,275.877991,207.231552,1025367
2010-11-12,277.509003,278.549988,264.769012,273.149994,205.182358,3877109
2010-11-15,273.966003,279.618988,271.377991,277.959015,208.794769,1113047
2010-11-16,277.875000,278.212006,272.390991,275.681000,207.083572,2146130
2010-11-18,283.500000,283.500000,268.453003,275.147003,206.682465,3012316
2010-11-19,276.694000,278.381012,273.740997,275.850006,207.210541,1786505
2010-11-22,277.875000,280.013000,272.953003,278.522003,209.217667,1956060
2010-11-23,275.062012,277.875000,273.122009,275.259003,206.766571,1249003
2010-11-24,276.468994,277.763000,270.337006,273.009003,205.076477,1057872
2010-11-25,272.953003,278.325012,270.140991,274.752991,206.386520,2197655
2010-11-26,273.937988,276.580994,271.350006,274.218994,205.985352,1620740
2010-11-29,275.569000,280.125000,272.812012,278.240997,209.006561,2367959
2010-11-30,277.256012,280.687988,272.897003,276.468994,207.675476,1704156
2010-12-01,275.850006,280.125000,274.078003,278.578003,209.259750,1495026
2010-12-02,279.562012,281.812012,274.500000,276.580994,207.759628,1941650
2010-12-03,277.283997,278.296997,272.250000,273.263000,205.267273,1854196
2010-12-06,276.750000,279.112000,275.428009,277.566010,208.499557,2495305
2010-12-07,277.537994,283.894012,276.328003,282.346985,212.090912,2329970
2010-12-08,282.796997,286.593994,276.355988,285.384003,214.372253,4057444
2010-12-09,287.437988,289.294006,277.903015,279.506012,209.956818,3578873
2010-12-10,279.000000,282.375000,273.937988,277.087006,208.139725,3017488
2010-12-13,276.750000,282.937988,275.118988,281.783997,211.667999,1147600
2010-12-14,281.812012,284.737000,279.647003,283.837006,213.210144,2095577
2010-12-15,287.156006,287.156006,279.000000,282.656006,212.322998,3565404
2010-12-16,280.350006,282.600006,278.718994,281.250000,211.266861,2205051
2010-12-20,281.194000,288.618988,280.855988,285.609009,214.541245,2668482
2010-12-21,286.256012,288.394012,282.346985,285.750000,214.647125,4473328
2010-12-22,286.875000,287.830994,284.625000,286.453003,215.175171,1572569
2010-12-23,288.000000,288.562012,283.556000,285.946991,214.795105,1482060
2010-12-24,286.312012,289.687988,284.625000,288.984009,217.076416,755209
2010-12-27,288.506012,290.812012,285.243988,286.678009,216.844955,1143292
2010-12-28,286.875000,287.240997,283.556000,284.625000,215.292084,722697
2010-12-29,285.412994,286.649994,284.316010,285.075012,215.632416,599858
2010-12-30,287.296997,289.040985,282.825012,287.269012,217.292023,1865356
2010-12-31,287.156006,289.125000,285.355988,288.365997,218.121780,1394766
2011-01-03,288.028015,291.178009,288.028015,289.716003,219.142929,954681
2011-01-04,291.600006,295.144012,291.375000,292.837006,221.503647,1713556
2011-01-05,293.625000,299.194000,291.431000,297.450012,224.992950,1202379
2011-01-06,298.125000,302.484009,295.424988,296.522003,224.291016,2400165
2011-01-07,296.044006,299.644012,292.808990,295.002991,223.142029,1459419
2011-01-10,295.312012,297.450012,281.250000,282.796997,213.909332,2238884
2011-01-11,285.187988,287.549988,279.225006,281.615997,213.016052,1627136
2011-01-12,285.131012,288.000000,279.618988,286.256012,216.525742,1256795
2011-01-13,287.522003,289.884003,278.718994,280.462006,212.143173,1918402
2011-01-14,280.968994,283.894012,270.591003,273.796997,207.101715,1612859
2011-01-17,275.062012,275.399994,263.671997,271.040985,205.017029,2455817
2011-01-18,272.812012,276.187988,264.937988,269.015991,203.485306,2972148
2011-01-19,270.000000,271.125000,260.578003,262.716003,198.719955,5494075
2011-01-20,258.187988,260.830994,252.253006,254.953003,192.847977,6430642
2011-01-21,257.033997,258.019012,253.688004,254.811996,192.741302,2307925
2011-01-24,257.062012,260.044006,255.375000,258.862000,195.804764,2053812
2011-01-25,261.000000,270.506012,259.537994,266.933990,201.910461,2604633
2011-01-27,271.125000,272.756012,255.938004,258.497009,195.528687,3278245
2011-01-28,258.975006,259.790985,250.311996,255.712006,193.422104,2230523
2011-01-31,257.062012,268.875000,253.884003,264.908997,200.378723,2104665
2011-02-01,265.500000,267.019012,256.500000,260.015991,196.677643,1581712
2011-02-02,260.718994,264.234009,257.625000,259.397003,196.209457,1059771
2011-02-03,259.931000,264.600006,257.681000,260.944000,197.379593,1011659
2011-02-04,261.562012,262.631012,253.266006,254.841003,192.763260,2022784
2011-02-07,258.019012,258.019012,247.556000,250.397003,189.401810,1996432
2011-02-08,255.375000,255.375000,246.938004,248.371994,187.870087,2177716
2011-02-09,245.391006,253.546997,239.934006,251.044006,189.891205,2460062
2011-02-10,249.300003,257.033997,248.962006,254.278000,192.337402,2705371
2011-02-11,252.309006,254.278000,246.431000,250.791000,189.699829,5264245
2011-02-14,248.990997,257.625000,248.990997,256.500000,194.018143,1071445
2011-02-15,256.500000,260.944000,253.884003,257.372009,194.677734,1046576
2011-02-16,258.580994,259.705994,254.559006,257.933990,195.102829,917522
2011-02-17,257.569000,257.569000,254.024994,254.783997,192.720139,1648580
2011-02-18,256.388000,256.500000,247.528000,249.102997,188.422989,1448926
2011-02-21,250.311996,254.475006,244.688004,252.505997,190.997040,1394089
2011-02-22,250.875000,253.069000,246.375000,248.738007,188.146927,1373029
2011-02-23,248.061996,251.494003,246.712006,249.440994,188.678680,727732
2011-02-24,246.656006,252.561996,243.000000,246.233994,186.252884,2451394
2011-02-25,246.375000,249.300003,242.606003,246.093994,186.146973,1512238
2011-02-28,248.061996,249.216003,239.061996,239.934006,181.487503,3544092
2011-03-01,241.311996,251.438004,240.468994,250.283997,189.316299,1309492
2011-03-03,246.684006,257.006012,246.684006,256.078003,193.698929,2326270
2011-03-04,256.500000,258.750000,252.084000,256.105988,193.720108,1751947
2011-03-07,252.591003,256.500000,248.061996,249.666000,188.848846,742620
2011-03-08,247.584000,251.296997,246.375000,248.061996,187.635590,1110011
2011-03-09,250.031006,250.087006,244.181000,248.147003,187.699921,1484948
2011-03-10,248.343994,249.496994,245.559006,248.541000,187.997925,946475
2011-03-11,245.811996,250.031006,245.811996,248.850006,188.231628,717735
2011-03-14,249.130997,263.109009,249.130997,260.240997,196.847824,2148750
2011-03-15,255.938004,259.875000,250.903000,257.484009,194.762436,1802937
2011-03-16,257.681000,259.875000,255.403000,256.921997,194.337357,1498112
2011-03-17,253.688004,256.191010,252.084000,254.447006,192.465256,1495998
2011-03-18,255.261993,255.938004,250.481003,251.944000,190.571960,2438967
2011-03-21,252.561996,255.093994,252.000000,253.378006,191.656647,843140
2011-03-22,254.250000,256.218994,252.675003,255.149994,192.996994,1157778
2011-03-23,256.415985,263.250000,255.375000,262.406006,198.485474,1232041
2011-03-24,262.997009,264.375000,256.388000,258.272003,195.358490,1890642
2011-03-25,264.263000,264.263000,253.884003,257.962006,195.124008,2366953
2011-03-28,258.131012,258.187988,252.000000,253.546997,191.784500,2612580
2011-03-29,254.250000,256.500000,250.931000,255.291000,193.103638,3827125
2011-03-30,254.897003,260.437988,254.250000,258.272003,195.358490,2907164
2011-03-31,260.381012,264.852997,255.431000,261.000000,197.421967,3707710
2011-04-01,259.846985,265.274994,257.794006,260.747009,197.230606,2211296
2011-04-04,261.955994,262.575012,255.966003,257.118988,194.486343,2498215
2011-04-05,259.256012,260.325012,256.612000,259.763000,196.486298,1525529
2011-04-06,259.763000,268.171997,259.763000,267.187988,202.102585,2694197
2011-04-07,268.312012,270.730988,264.431000,266.147003,201.315186,2126475
2011-04-08,267.187988,267.694000,261.843994,265.022003,200.464233,1164279
2011-04-11,265.444000,266.287994,259.368988,261.112000,197.506699,693845
2011-04-13,261.562012,268.312012,259.593994,267.243988,202.144958,1896430
2011-04-15,267.468994,267.468994,262.321991,263.980988,199.676804,1222590
2011-04-18,264.937988,267.075012,259.875000,260.915985,197.358414,1104416
2011-04-19,260.971985,266.765991,256.330994,265.837006,201.080704,1414455
2011-04-20,267.187988,270.450012,264.627991,269.325012,203.719101,935836
2011-04-21,269.830994,270.000000,264.881012,266.681000,201.719116,1223796
2011-04-25,264.993988,271.912994,264.993988,269.691010,203.995911,648985
2011-04-26,269.691010,273.093994,266.681000,271.519012,205.378616,2871915
2011-04-27,273.093994,273.093994,267.187988,267.694000,202.485336,803966
2011-04-28,267.750000,269.044006,266.147003,267.328003,202.208511,1911993
2011-04-29,267.187988,271.013000,266.174988,267.441010,202.294006,1439207
2011-05-02,267.750000,269.971985,257.625000,259.283997,196.123962,1899321
2011-05-03,260.437988,260.437988,249.806000,250.733994,189.656693,2418873
2011-05-04,252.056000,253.125000,246.572006,251.240997,190.040192,2818235
2011-05-05,252.421997,256.500000,251.606003,253.125000,191.465271,1571561
2011-05-06,255.600006,255.938004,251.550003,253.153000,191.486435,1670196
2011-05-09,254.250000,258.187988,253.688004,256.837006,194.273056,1109300
2011-05-10,256.022003,261.225006,256.022003,259.931000,196.613358,1057950
2011-05-11,259.312012,260.325012,255.684006,259.283997,196.123962,1172164
2011-05-12,259.593994,262.294006,257.709015,258.834015,195.783630,1925371
2011-05-13,258.187988,262.125000,256.049988,258.272003,195.358490,706820
2011-05-16,258.187988,258.750000,253.181000,254.334000,192.379761,1552233
2011-05-17,255.768997,255.768997,242.606003,243.731003,184.359619,2583230
2011-05-18,242.802994,243.533997,235.856003,237.233994,179.445190,2436798
2011-05-19,240.018997,245.503006,237.712006,240.834000,182.168289,1365054
2011-05-20,240.750000,245.250000,236.447006,239.738007,181.339294,2346556
2011-05-23,237.375000,246.824997,232.115997,244.828003,185.189377,7128526
2011-05-24,244.688004,246.375000,240.750000,241.847000,182.934525,1938204
2011-05-25,241.875000,243.281006,239.061996,241.733994,182.849014,2300533
2011-05-26,243.000000,251.380997,239.511993,248.681000,188.103806,3097065
2011-05-27,248.794006,249.188004,243.561996,244.518997,184.955643,1675975
2011-05-30,245.475006,250.031006,242.718994,249.188004,188.487305,1335922
2011-05-31,250.031006,253.011993,248.203003,250.199997,189.252792,1408172
2011-06-01,248.231003,255.375000,248.231003,254.615997,192.593063,993143
2011-06-02,252.000000,255.093994,248.511993,251.830994,190.486481,887648
2011-06-03,252.955994,254.024994,245.811996,247.274994,187.040314,1178553
2011-06-06,248.343994,248.343994,242.494003,243.084000,183.870209,1253660
2011-06-07,244.688004,246.093994,242.522003,245.108994,185.401932,1295518
2011-06-08,245.278000,249.919006,244.688004,249.468994,188.699844,880108
2011-06-09,249.750000,251.718994,247.218994,250.341003,189.359436,743152
2011-06-10,249.046997,251.438004,247.669006,250.397003,189.401810,1006251
2011-06-13,250.283997,254.250000,249.750000,253.125000,191.465271,1346473
2011-06-14,254.250000,256.444000,251.746994,253.884003,192.039383,1635404
2011-06-15,252.309006,253.688004,247.865997,248.962006,188.316360,1074315
2011-06-16,248.625000,248.625000,244.744003,245.615997,185.785416,876338
2011-06-17,245.531006,250.003006,244.602997,247.330994,187.082642,1079778
2011-06-20,246.459000,250.227997,239.061996,242.268997,183.253708,1376215
2011-06-21,242.718994,247.500000,241.311996,244.125000,184.657593,1075746
2011-06-22,246.037994,248.343994,244.688004,246.205994,186.231674,1059275
2011-06-23,245.278000,248.119003,245.250000,246.261993,186.274033,475941
2011-06-24,247.386993,253.658997,246.572006,252.169006,190.742157,1975013
2011-06-27,257.513000,261.450012,254.981003,257.287994,194.614197,2780096
2011-06-28,258.721985,258.721985,250.311996,251.072006,189.912399,1531447
2011-06-29,252.561996,255.037994,245.981003,248.427994,187.912430,2065564
2011-06-30,247.302994,251.156006,246.966003,248.175003,187.721069,2300423
2011-07-01,249.750000,255.065994,249.524994,253.546997,191.784500,3706350
2011-07-04,257.062012,260.156006,253.434006,259.031006,195.932632,2046299
2011-07-05,259.200012,259.875000,255.431000,256.781006,194.230698,2309291
2011-07-06,255.009003,261.562012,255.009003,258.497009,195.528687,2512398
2011-07-07,258.750000,263.756012,257.906006,262.602997,198.634491,1885120
2011-07-08,263.250000,265.444000,259.875000,260.352997,196.932587,1409220
2011-07-11,258.919006,261.506012,257.625000,260.466003,197.018082,981052
2011-07-12,259.256012,262.687988,255.403000,257.287994,194.614197,1041111
2011-07-13,257.653015,263.109009,257.653015,260.859009,197.315323,2036309
2011-07-14,258.750000,260.381012,255.938004,256.894012,194.316177,2411195
2011-07-15,257.569000,258.468994,250.369003,250.959000,189.826904,1193614
2011-07-18,251.438004,256.444000,250.397003,255.938004,193.593063,1380228
2011-07-19,255.938004,261.000000,253.884003,257.062012,194.443268,1075131
2011-07-20,258.694000,260.437988,254.811996,256.500000,194.018143,1223748
2011-07-21,255.938004,258.975006,255.093994,257.399994,194.698898,791771
2011-07-22,257.962006,263.024994,257.962006,262.406006,198.485474,2189173
2011-07-25,262.687988,268.846985,261.308990,262.546997,198.592117,1931963
2011-07-26,262.968994,264.712006,257.343994,259.453003,196.251816,846780
2011-07-27,261.000000,262.406006,254.334000,257.877991,195.060455,1615840
2011-07-28,255.121994,260.127991,255.121994,258.216003,195.316116,1094194
2011-07-29,261.308990,263.812012,257.821991,259.368988,196.188278,1851397
2011-08-01,259.763000,263.531006,258.075012,261.365997,197.698807,667451
2011-08-02,261.955994,263.250000,257.850006,259.959015,196.634567,2076236
2011-08-03,258.665985,262.350006,257.569000,260.466003,197.018082,1673147
2011-08-04,261.028015,267.750000,261.028015,262.687988,198.698792,1850569
2011-08-05,254.306000,261.984009,254.250000,256.388000,193.933426,2613680
2011-08-08,254.811996,264.600006,249.834000,252.619003,191.082520,2443804
2011-08-09,248.625000,252.927994,243.955994,246.291000,186.295990,2565694
2011-08-10,253.069000,253.069000,243.000000,245.925003,186.019150,2028007
2011-08-11,245.250000,248.906006,244.125000,247.697006,187.359482,977604
2011-08-12,248.625000,253.238007,246.684006,252.421997,190.933517,1482149
2011-08-16,254.194000,254.278000,243.028000,244.041000,184.594086,1317758
2011-08-17,244.125000,250.761993,239.427994,246.488007,190.743835,1696896
2011-08-18,248.625000,249.468994,244.125000,246.488007,190.743835,972596
2011-08-19,241.875000,248.455994,239.794006,241.705994,187.043304,864820
2011-08-22,241.875000,244.602997,232.199997,233.578003,180.753494,3668544
2011-08-23,233.944000,235.688004,229.416000,232.143997,179.643784,1777442
2011-08-24,232.875000,235.125000,230.343994,231.552994,179.186417,1348286
2011-08-25,234.561996,234.843994,230.203003,232.311996,179.773788,2097525
2011-08-26,232.875000,236.727997,229.500000,231.328003,179.012329,2588811
2011-08-29,233.438004,235.912994,231.863007,234.533997,181.493286,1635244
2011-08-30,233.718994,235.940994,228.938004,230.962006,178.729065,2064220
2011-09-02,238.472000,238.472000,231.188004,233.408997,180.622696,2214030
2011-09-05,232.341003,237.375000,232.341003,234.955994,181.819824,2434702
2011-09-06,235.125000,241.875000,233.494003,240.328003,185.976944,2621020
2011-09-07,240.750000,244.011993,238.218994,240.158997,185.846161,1988683
2011-09-08,240.750000,241.705994,236.306000,237.966003,184.149124,2665945
2011-09-09,238.050003,239.061996,232.143997,232.959000,180.274475,2631504
2011-09-12,231.750000,231.750000,226.688004,230.119003,178.076736,2377184
2011-09-13,231.188004,235.406006,228.403000,229.556000,177.641068,1818866
2011-09-14,231.863007,235.490997,227.811996,233.916000,181.015045,2282889
2011-09-15,237.880997,245.811996,235.856003,244.238007,189.002701,1718716
2011-09-16,246.375000,249.188004,236.250000,238.358994,184.453217,3383470
2011-09-19,240.188004,244.688004,238.330994,243.899994,188.741104,1550281
2011-09-20,245.080994,246.149994,241.369003,245.475006,189.959930,2069989
2011-09-21,247.162994,247.190994,241.509003,242.522003,187.674759,667788
2011-09-22,241.087006,241.255997,234.619003,238.134003,184.279114,939772
2011-09-23,237.880997,240.328003,232.425003,237.319000,183.648422,1293964
2011-09-26,238.697006,238.697006,228.966003,230.511993,178.380844,2006951
2011-09-27,231.384003,234.449997,230.005997,232.255997,179.730438,1800373
2011-09-28,235.406006,239.061996,230.681000,238.274994,184.388214,2632110
2011-09-29,237.938004,241.875000,234.084000,239.541000,185.367935,2693984
2011-09-30,239.906006,240.750000,230.119003,230.934006,178.707443,2969556
2011-10-03,228.431000,235.744003,226.884003,235.238007,182.038071,1889266
2011-10-04,234.591003,236.024994,228.938004,230.709000,178.533325,1485058
2011-10-05,230.962006,233.268997,225.056000,228.037994,176.466354,1953621
2011-10-07,232.677994,235.688004,229.921997,231.244003,178.947342,1951598
2011-10-10,231.328003,237.740997,230.709000,237.149994,183.517654,2002510
2011-10-11,239.511993,239.511993,233.718994,234.647003,181.580719,1778809
2011-10-12,235.181000,237.319000,233.438004,236.080994,182.690399,1308044
2011-10-13,238.218994,238.472000,233.352997,235.125000,181.950623,1042439
2011-10-14,235.574997,236.671997,231.778000,233.634003,180.796783,1404964
