Date,Open,High,Low,Close,Adj Close,Volume
2010-10-04,215.024994,220.750000,214.899994,217.850006,178.704712,3279676
2010-10-05,218.250000,221.699997,215.300003,216.524994,177.617798,1909176
2010-10-06,218.000000,219.800003,215.324997,216.875000,177.904892,1039910
2010-10-07,217.000000,218.899994,213.699997,214.899994,176.284790,851376
2010-10-08,215.000000,217.500000,213.500000,216.574997,177.658783,612382
2010-10-11,218.000000,218.350006,213.050003,215.375000,176.674423,577154
2010-10-12,215.500000,217.149994,213.750000,214.824997,176.223267,647770
2010-10-13,215.000000,223.500000,213.100006,222.125000,182.211563,3403318
2010-10-14,222.750000,227.750000,218.250000,219.425003,179.996674,1779260
2010-10-15,221.000000,224.100006,215.000000,215.699997,176.941025,1113600
2010-10-18,215.500000,223.899994,212.574997,223.225006,183.113892,2033328
2010-10-19,223.500000,224.000000,217.074997,219.625000,180.160751,1360650
2010-10-20,217.500000,222.375000,212.125000,213.050003,174.767242,1530244
2010-10-21,213.000000,214.399994,210.250000,211.800003,173.741821,2380364
2010-10-22,212.000000,212.925003,206.600006,208.425003,173.015503,1715168
2010-10-25,209.274994,212.750000,208.675003,212.274994,176.211380,712408
2010-10-26,212.000000,213.250000,210.074997,211.524994,175.588882,797288
2010-10-27,210.050003,211.750000,207.524994,208.649994,173.202209,888200
2010-10-28,207.550003,210.000000,199.500000,205.199997,170.338333,2944558
2010-10-29,204.274994,204.500000,200.500000,201.899994,167.598999,1708466
2010-11-01,202.574997,204.500000,200.000000,203.899994,169.259216,1442388
2010-11-02,203.899994,204.500000,200.550003,203.024994,168.532883,1370642
2010-11-03,201.500000,205.225006,201.500000,203.050003,168.553619,1980182
2010-11-04,202.500000,208.000000,202.500000,206.024994,171.023193,2037092
2010-11-08,204.000000,207.500000,202.500000,202.824997,168.366867,977968
2010-11-09,203.500000,204.000000,201.125000,202.425003,168.034836,1069672
2010-11-10,200.600006,205.425003,200.600006,202.500000,168.097092,1289468
2010-11-11,204.000000,204.000000,201.000000,201.324997,167.121689,596008
2010-11-12,200.500000,203.199997,200.000000,201.225006,167.038681,679266
2010-11-15,200.000000,203.699997,196.274994,202.175003,167.827271,1373828
2010-11-16,203.500000,203.750000,192.649994,196.175003,162.846664,1578312
2010-11-18,202.350006,202.350006,195.000000,196.725006,163.303223,965914
2010-11-19,196.000000,196.750000,183.850006,188.500000,156.475571,1421872
2010-11-22,189.050003,196.475006,185.524994,195.125000,161.975037,1507440
2010-11-23,195.850006,199.250000,192.149994,198.000000,164.361603,2332402
2010-11-24,196.000000,198.250000,194.024994,195.250000,162.078796,1777728
2010-11-25,194.000000,199.000000,188.725006,192.875000,160.107300,2602788
2010-11-26,194.000000,199.750000,191.550003,196.000000,162.701416,2213658
2010-11-29,197.024994,198.899994,192.625000,196.774994,163.344681,1117224
2010-11-30,194.000000,203.000000,193.750000,201.875000,167.578262,1263514
2010-12-01,203.500000,207.000000,203.375000,205.524994,170.608170,1094730
2010-12-02,208.750000,210.175003,205.000000,209.625000,174.011612,1693128
2010-12-03,210.000000,213.750000,209.100006,211.850006,175.858566,1867232
2010-12-06,212.500000,215.500000,210.000000,213.074997,176.875458,1659500
