Date,Open,High,Low,Close,Adj Close,Volume
2010-10-04,748.000000,766.900024,739.500000,760.349976,683.406799,5474707
2010-10-05,675.000000,765.000000,675.000000,741.349976,666.329407,3116611
2010-10-06,747.049988,755.000000,738.200012,745.049988,669.655029,1914318
2010-10-07,749.900024,749.900024,722.250000,725.799988,652.353027,3626961
2010-10-08,734.000000,734.700012,709.000000,717.349976,644.758240,3022726
2010-10-11,751.000000,860.799988,711.099976,721.099976,648.128601,2306408
2010-10-12,725.000000,725.000000,696.049988,708.049988,636.399292,2688911
2010-10-13,713.799988,740.750000,699.099976,739.900024,665.026123,6564215
2010-10-14,750.000000,750.000000,729.049988,733.349976,659.139038,2671564
2010-10-15,735.000000,743.000000,725.049988,727.150024,653.566406,2310795
2010-10-18,763.500000,763.500000,701.000000,724.400024,651.094727,3937451
2010-10-19,726.000000,732.599976,715.400024,720.650024,647.724121,3689899
2010-10-20,719.500000,719.500000,694.150024,697.900024,627.276428,4196149
2010-10-21,703.700012,708.900024,692.250000,704.750000,633.433167,5981874
2010-10-22,708.000000,709.400024,685.049988,691.950012,621.928467,3769513
2010-10-25,700.000000,711.950012,695.000000,706.500000,635.006104,3238963
2010-10-26,709.000000,709.000000,695.000000,696.349976,625.883240,3311992
2010-10-27,699.400024,699.400024,672.099976,678.049988,609.435120,4989293
2010-10-28,685.000000,699.400024,676.200012,692.200012,622.153076,5870282
2010-10-29,701.000000,702.000000,677.000000,687.700012,618.108582,2615809
2010-11-01,700.000000,712.400024,690.799988,710.700012,638.781067,3721196
2010-11-02,712.900024,717.000000,698.799988,702.799988,631.680542,3364933
2010-11-03,707.000000,718.400024,704.000000,715.950012,643.499878,2629467
2010-11-04,722.950012,743.599976,719.000000,739.700012,664.846436,5480327
2010-11-08,740.000000,740.000000,720.500000,726.200012,652.712585,1790247
2010-11-09,730.000000,730.000000,714.200012,725.450012,652.038330,2228858
2010-11-10,728.799988,730.750000,721.250000,725.349976,651.948547,2100543
2010-11-11,730.000000,730.000000,710.000000,712.099976,640.039429,1574235
2010-11-12,714.900024,726.500000,708.200012,716.049988,643.589600,3120432
2010-11-15,715.000000,716.750000,703.000000,710.200012,638.331787,1141333
2010-11-16,710.000000,721.099976,693.849976,698.400024,627.725769,2597213
2010-11-18,722.900024,722.900024,694.950012,700.349976,629.478455,4678518
2010-11-19,704.799988,708.500000,691.599976,695.349976,624.984497,2337073
2010-11-22,699.900024,720.000000,699.250000,719.099976,646.331055,2498916
2010-11-23,714.900024,715.150024,694.750000,699.650024,628.849304,2602079
2010-11-24,705.000000,705.000000,682.049988,688.299988,618.647705,2292162
2010-11-25,692.000000,707.799988,685.799988,695.950012,625.523743,3336692
2010-11-26,700.000000,701.049988,673.750000,684.950012,615.636841,2688931
2010-11-29,693.900024,699.000000,686.000000,694.849976,624.534973,2103645
2010-11-30,693.000000,696.000000,678.200012,686.650024,617.164795,3086241
2010-12-01,693.900024,701.599976,685.799988,697.750000,627.141541,2375909
2010-12-02,710.000000,710.000000,700.049988,705.500000,634.107239,2877673
2010-12-03,708.900024,708.900024,692.750000,695.299988,624.939453,2115580
2010-12-06,704.900024,712.000000,699.000000,704.849976,633.523132,2224334
2010-12-07,708.849976,708.849976,695.099976,700.799988,629.882874,1897509
2010-12-08,691.200012,702.349976,681.700012,684.750000,615.457092,3099297
2010-12-09,690.000000,690.000000,662.500000,671.950012,603.952393,5026521
2010-12-10,673.750000,673.750000,660.049988,668.599976,600.941406,4392341
2010-12-13,674.049988,695.000000,669.049988,693.750000,623.546265,2801933
2010-12-14,697.000000,697.200012,683.400024,692.750000,622.647583,1599301
2010-12-15,693.000000,695.000000,678.549988,685.450012,616.086182,1819761
2010-12-16,689.650024,692.799988,671.500000,688.500000,618.827637,1860073
2010-12-20,690.500000,702.000000,680.599976,692.299988,622.243103,2610933
2010-12-21,695.099976,704.400024,695.099976,699.099976,628.354919,1451468
2010-12-22,703.950012,703.950012,694.150024,697.750000,627.141541,1720482
2010-12-23,704.750000,704.750000,696.150024,701.799988,630.781677,1541210
2010-12-24,690.000000,702.000000,690.000000,698.900024,628.175232,1177108
2010-12-27,700.000000,703.900024,693.750000,696.049988,625.613464,1036540
2010-12-28,696.150024,702.900024,694.250000,700.400024,629.523376,1004836
2010-12-29,701.799988,719.500000,700.950012,717.400024,644.803162,1721265
2010-12-30,712.549988,731.750000,712.549988,729.200012,655.408997,2819143
2010-12-31,728.000000,734.000000,718.000000,728.349976,654.645020,1673084
2011-01-03,737.900024,737.900024,724.000000,728.200012,654.510254,768310
2011-01-04,731.000000,738.799988,725.299988,731.750000,657.700928,2071437
2011-01-05,727.799988,727.799988,706.150024,708.099976,636.444153,1346235
2011-01-06,713.700012,714.700012,700.799988,706.900024,635.365540,1579745
2011-01-07,703.099976,708.700012,680.000000,683.900024,614.693054,2377426
2011-01-10,680.599976,683.000000,650.849976,653.599976,587.459229,3067513
2011-01-11,659.950012,669.099976,649.049988,659.349976,592.627441,4162819
2011-01-12,664.799988,687.250000,649.700012,680.650024,611.771973,2651175
2011-01-13,687.500000,687.500000,664.150024,667.349976,599.817749,3100863
2011-01-14,671.099976,677.799988,635.099976,641.750000,576.808350,4893952
2011-01-17,643.900024,667.150024,637.599976,663.650024,596.492310,6630267
2011-01-18,668.700012,668.950012,650.000000,658.349976,591.728638,1534814
2011-01-19,658.349976,661.900024,651.000000,653.099976,587.009888,2039642
2011-01-20,651.000000,665.599976,646.700012,660.599976,593.750916,1667697
2011-01-21,660.000000,661.450012,648.099976,651.200012,585.302063,1919229
2011-01-24,657.299988,676.000000,650.900024,669.450012,601.705322,2705161
2011-01-25,668.500000,682.799988,664.849976,670.200012,602.379395,2699275
2011-01-27,677.799988,677.799988,660.049988,667.099976,599.593140,3218239
2011-01-28,673.000000,673.000000,639.099976,645.250000,579.954163,4665888
2011-01-31,635.049988,641.000000,616.099976,628.349976,564.764465,4233907
2011-02-01,633.450012,648.349976,629.599976,633.250000,569.168518,4698371
2011-02-02,642.299988,644.000000,613.299988,617.450012,554.967529,4141895
2011-02-03,621.900024,629.799988,615.049988,624.299988,561.124329,2006481
2011-02-04,624.000000,632.900024,600.099976,604.150024,543.013367,2633100
2011-02-07,615.000000,615.000000,586.549988,590.650024,530.879517,2778429
2011-02-08,596.000000,603.000000,584.500000,589.150024,529.531250,4389202
2011-02-09,584.099976,616.450012,582.299988,608.299988,546.743408,6703472
2011-02-10,610.250000,618.400024,589.150024,595.849976,535.553284,5138812
2011-02-11,600.450012,626.049988,597.200012,623.150024,560.090637,4729277
2011-02-14,632.700012,645.000000,624.500000,642.799988,577.752258,2622477
2011-02-15,641.200012,653.000000,633.700012,646.599976,581.167603,2396664
2011-02-16,642.299988,646.849976,624.000000,626.900024,563.461243,3532475
2011-02-17,630.099976,652.799988,628.500000,650.049988,584.268494,2934055
2011-02-18,653.549988,663.799988,639.099976,643.849976,578.695862,4046717
2011-02-21,636.299988,651.900024,635.000000,648.099976,582.515808,2025818
2011-02-22,643.799988,646.549988,636.049988,641.099976,576.224060,2000449
2011-02-23,642.700012,661.500000,641.799988,647.000000,581.527161,5009694
2011-02-24,641.500000,647.799988,610.000000,616.799988,554.383301,5518105
2011-02-25,624.849976,631.200012,611.400024,623.599976,560.494995,3275493
2011-02-28,630.099976,652.900024,623.099976,629.200012,565.528442,3977911
2011-03-01,637.200012,654.849976,635.000000,650.750000,584.897644,2646398
2011-03-03,644.049988,679.000000,644.049988,672.099976,604.087219,4106165
2011-03-04,679.650024,687.000000,675.000000,681.500000,612.535950,3622250
2011-03-07,672.349976,677.000000,660.099976,667.000000,599.503296,1600351
2011-03-08,663.099976,679.000000,663.099976,675.150024,606.828552,2658038
2011-03-09,677.000000,683.099976,665.000000,672.700012,604.626526,1337415
2011-03-10,674.900024,678.400024,664.849976,666.799988,599.323486,1647150
2011-03-11,662.000000,667.000000,647.299988,660.400024,593.571106,2115239
2011-03-14,659.849976,675.450012,656.000000,671.450012,603.502991,2372307
2011-03-15,655.150024,670.000000,650.400024,663.099976,595.997864,2345828
2011-03-16,666.200012,673.400024,658.599976,659.849976,593.076843,2747492
2011-03-17,650.500000,655.000000,634.150024,637.000000,572.539124,4431693
2011-03-18,642.099976,643.200012,617.349976,620.299988,557.529053,5528054
2011-03-21,625.950012,631.700012,622.849976,626.450012,563.056763,2547991
2011-03-22,630.950012,639.950012,624.000000,637.799988,573.258179,2162996
2011-03-23,637.849976,643.900024,633.750000,640.200012,575.415222,1996107
2011-03-24,644.950012,646.799988,637.099976,644.099976,578.920593,1872217
2011-03-25,655.299988,667.000000,645.099976,663.700012,596.537170,3322278
2011-03-28,665.000000,679.900024,659.049988,667.900024,600.312195,3223739
2011-03-29,673.700012,689.000000,670.000000,683.049988,613.929016,3318575
2011-03-30,685.950012,700.000000,685.650024,698.450012,627.770813,2718670
2011-03-31,700.049988,715.000000,692.700012,701.200012,630.242493,7169750
2011-04-01,699.000000,710.349976,696.049988,708.200012,636.534058,2899147
2011-04-04,713.750000,713.750000,697.549988,705.549988,634.152344,3330504
2011-04-05,703.000000,711.000000,693.299988,698.349976,627.680725,3830230
2011-04-06,700.750000,706.650024,693.549988,698.900024,628.175232,2603969
2011-04-07,696.049988,719.900024,696.049988,715.700012,643.275146,3199679
2011-04-08,716.099976,722.500000,706.700012,710.650024,638.736267,3639384
2011-04-11,698.299988,706.349976,688.299988,690.150024,620.310608,2073109
2011-04-13,686.150024,721.799988,684.000000,718.000000,645.342407,2237383
2011-04-15,715.299988,723.250000,702.650024,706.700012,635.185913,3427985
2011-04-18,709.900024,718.349976,689.049988,692.099976,622.063354,2153270
2011-04-19,688.299988,699.849976,686.950012,694.599976,624.310364,1766375
2011-04-20,701.700012,716.650024,695.000000,715.000000,642.645996,1602777
2011-04-21,717.400024,733.849976,717.400024,732.200012,658.105408,3039471
2011-04-25,732.000000,737.900024,727.549988,731.049988,657.071716,1167396
2011-04-26,731.000000,733.000000,709.099976,722.849976,649.701416,1733528
2011-04-27,721.500000,726.000000,716.200012,722.099976,649.027283,1368508
2011-04-28,722.099976,723.099976,707.000000,717.349976,644.758240,2852184
2011-04-29,715.000000,720.400024,695.799988,706.799988,635.275818,2732252
2011-05-02,710.099976,711.349976,696.549988,699.400024,628.624634,1580211
2011-05-03,696.099976,704.799988,681.000000,684.349976,615.097656,2246946
2011-05-04,686.000000,690.650024,659.000000,662.500000,595.458618,2401410
2011-05-05,665.950012,673.500000,651.650024,655.049988,588.762634,1720801
2011-05-06,659.849976,669.849976,655.000000,664.799988,597.525818,1910901
2011-05-09,670.000000,670.000000,656.599976,664.549988,597.301147,1612375
2011-05-10,669.700012,669.700012,650.099976,661.099976,594.200256,3941941
2011-05-11,665.099976,668.099976,656.000000,666.099976,598.694458,2374440
2011-05-12,660.000000,661.900024,646.000000,647.200012,581.707031,2940195
2011-05-13,650.000000,655.000000,640.750000,644.700012,579.459900,6914124
2011-05-16,646.000000,646.200012,632.000000,634.000000,569.842590,2521226
2011-05-17,635.000000,638.700012,626.549988,631.599976,567.685547,2597846
2011-05-18,634.799988,647.599976,634.799988,646.049988,580.673279,4386172
2011-05-19,649.750000,649.849976,637.599976,643.849976,578.695862,1228035
2011-05-20,649.849976,663.400024,640.000000,658.849976,592.178040,1807339
2011-05-23,652.450012,653.150024,640.049988,646.549988,581.122681,2105817
2011-05-24,651.700012,659.849976,645.049988,649.400024,583.684326,1977042
2011-05-25,650.000000,656.500000,641.099976,644.250000,579.055542,2245849
2011-05-26,645.200012,649.900024,635.000000,643.150024,578.066772,2913164
2011-05-27,640.500000,658.400024,640.500000,656.299988,589.886047,1935462
2011-05-30,658.000000,671.500000,658.000000,668.549988,600.896423,2256839
2011-05-31,669.799988,688.799988,669.799988,684.049988,614.827881,3227566
2011-06-01,676.549988,692.950012,676.549988,689.099976,619.366821,1204308
2011-06-02,681.049988,684.700012,676.599976,680.000000,611.187744,1100046
2011-06-03,678.500000,683.049988,658.250000,660.049988,593.256531,2170805
2011-06-06,659.950012,674.099976,659.150024,670.650024,602.783997,2854529
2011-06-07,668.000000,674.650024,662.299988,669.200012,601.480652,1865334
2011-06-08,664.000000,669.500000,657.000000,658.299988,591.683716,994235
2011-06-09,658.000000,662.400024,650.400024,654.799988,588.537903,2103369
2011-06-10,654.000000,658.500000,645.549988,651.500000,585.571716,2562491
2011-06-13,649.450012,659.500000,646.349976,657.000000,590.515198,1371393
2011-06-14,648.000000,655.650024,643.500000,648.400024,582.785583,2835239
2011-06-15,647.000000,659.400024,646.000000,648.200012,582.605713,2358264
2011-06-16,647.700012,655.900024,643.099976,648.099976,582.515808,2316006
2011-06-17,654.500000,654.500000,635.549988,638.650024,574.022156,1745082
2011-06-20,640.799988,641.950012,625.099976,630.049988,566.292419,4128299
2011-06-21,633.000000,649.299988,631.000000,643.049988,577.976868,1956632
2011-06-22,639.000000,649.000000,635.000000,644.650024,587.639465,1890470
2011-06-23,642.099976,645.750000,636.000000,638.950012,582.443665,847197
2011-06-24,640.549988,670.450012,640.549988,668.000000,608.924500,3635723
2011-06-27,660.500000,684.900024,660.500000,674.549988,614.895203,3281812
2011-06-28,678.099976,692.000000,675.500000,689.750000,628.751099,2608360
2011-06-29,692.599976,699.500000,692.599976,696.049988,634.493835,1739032
2011-06-30,696.200012,709.900024,696.200012,706.299988,643.837402,4189494
2011-07-01,710.049988,712.000000,701.299988,703.299988,641.102600,1878221
2011-07-04,708.000000,710.000000,696.799988,700.750000,638.778198,1268259
2011-07-05,699.549988,703.400024,690.150024,700.200012,638.276917,2090604
